+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|               982 |  1 |       NEW |     READY |
|               982 |  1 |     READY |   RUNNING |
|              1166 |  2 |       NEW |     READY |
|              1523 |  1 |   RUNNING |   WAITING |
|              1524 |  2 |     READY |   RUNNING |
|              1641 |  1 |   WAITING |     READY |
|              1641 |  2 |   RUNNING |     READY |
|              1642 |  1 |     READY |   RUNNING |
|              1816 |  3 |       NEW |     READY |
|              2183 |  1 |   RUNNING |   WAITING |
|              2184 |  2 |     READY |   RUNNING |
|              2301 |  1 |   WAITING |     READY |
|              3036 |  2 |   RUNNING |   WAITING |
|              3037 |  1 |     READY |   RUNNING |
|              3136 |  2 |   WAITING |     READY |
|              3578 |  1 |   RUNNING |   WAITING |
|              3579 |  2 |     READY |   RUNNING |
|              3696 |  1 |   WAITING |     READY |
|              4549 |  2 |   RUNNING |   WAITING |
|              4550 |  1 |     READY |   RUNNING |
|              4649 |  2 |   WAITING |     READY |
|              4997 |  8 |       NEW |     READY |
|              5091 |  1 |   RUNNING |   WAITING |
|              5092 |  2 |     READY |   RUNNING |
|              5209 |  1 |   WAITING |     READY |
|              6062 |  2 |   RUNNING |   WAITING |
|              6063 |  1 |     READY |   RUNNING |
|              6162 |  2 |   WAITING |     READY |
|              6604 |  1 |   RUNNING |   WAITING |
|              6605 |  2 |     READY |   RUNNING |
|              6722 |  1 |   WAITING |     READY |
|              7575 |  2 |   RUNNING |   WAITING |
|              7576 |  1 |     READY |   RUNNING |
|              7675 |  2 |   WAITING |     READY |
|              8117 |  1 |   RUNNING |   WAITING |
|              8118 |  2 |     READY |   RUNNING |
|              8235 |  1 |   WAITING |     READY |
|              9088 |  2 |   RUNNING |   WAITING |
|              9089 |  1 |     READY |   RUNNING |
|              9188 |  2 |   WAITING |     READY |
|              9630 |  1 |   RUNNING |   WAITING |
|              9631 |  2 |     READY |   RUNNING |
|              9748 |  1 |   WAITING |     READY |
|             10601 |  2 |   RUNNING |   WAITING |
|             10602 |  1 |     READY |   RUNNING |
|             10701 |  2 |   WAITING |     READY |
|             11143 |  1 |   RUNNING |   WAITING |
|             11144 |  2 |     READY |   RUNNING |
|             11261 |  1 |   WAITING |     READY |
|             12114 |  2 |   RUNNING |   WAITING |
|             12115 |  1 |     READY |   RUNNING |
|             12214 |  2 |   WAITING |     READY |
|             12656 |  1 |   RUNNING |   WAITING |
|             12657 |  2 |     READY |   RUNNING |
|             12774 |  1 |   WAITING |     READY |
|             13627 |  2 |   RUNNING |   WAITING |
|             13628 |  1 |     READY |   RUNNING |
|             13727 |  2 |   WAITING |     READY |
|             14169 |  1 |   RUNNING |   WAITING |
|             14170 |  2 |     READY |   RUNNING |
|             14287 |  1 |   WAITING |     READY |
|             15140 |  2 |   RUNNING |   WAITING |
|             15141 |  1 |     READY |   RUNNING |
|             15240 |  2 |   WAITING |     READY |
|             15682 |  1 |   RUNNING |   WAITING |
|             15683 |  2 |     READY |   RUNNING |
|             15800 |  1 |   WAITING |     READY |
|             16653 |  2 |   RUNNING |   WAITING |
|             16654 |  1 |     READY |   RUNNING |
|             16753 |  2 |   WAITING |     READY |
|             17195 |  1 |   RUNNING |   WAITING |
|             17196 |  2 |     READY |   RUNNING |
|             17313 |  1 |   WAITING |     READY |
|             18026 |  2 |   RUNNING |TERMINATED |
|             18027 |  4 |       NEW |     READY |
|             18027 |  1 |     READY |   RUNNING |
|             18568 |  1 |   RUNNING |   WAITING |
|             18569 |  3 |     READY |   RUNNING |
|             18686 |  1 |   WAITING |     READY |
|             20966 |  3 |   RUNNING |   WAITING |
|             20967 |  1 |     READY |   RUNNING |
|             21049 |  3 |   WAITING |     READY |
