+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|               722 |  1 |       NEW |     READY |
|               722 |  1 |     READY |   RUNNING |
|               730 |  2 |       NEW |     READY |
|              1045 |  1 |   RUNNING |   WAITING |
|              1046 |  2 |     READY |   RUNNING |
|              1191 |  1 |   WAITING |     READY |
|              1191 |  2 |   RUNNING |     READY |
|              1192 |  1 |     READY |   RUNNING |
|              1515 |  1 |   RUNNING |   WAITING |
|              1516 |  2 |     READY |   RUNNING |
|              1661 |  1 |   WAITING |     READY |
|              1661 |  2 |   RUNNING |     READY |
|              1662 |  1 |     READY |   RUNNING |
|              1985 |  1 |   RUNNING |   WAITING |
|              1986 |  2 |     READY |   RUNNING |
|              2131 |  1 |   WAITING |     READY |
|              2131 |  2 |   RUNNING |     READY |
|              2132 |  1 |     READY |   RUNNING |
|              2455 |  1 |   RUNNING |   WAITING |
|              2456 |  2 |     READY |   RUNNING |
|              2504 |  2 |   RUNNING |   WAITING |
|              2601 |  1 |   WAITING |     READY |
|              2601 |  1 |     READY |   RUNNING |
|              2693 |  2 |   WAITING |     READY |
|              2924 |  1 |   RUNNING |   WAITING |
|              2925 |  2 |     READY |   RUNNING |
|              3070 |  1 |   WAITING |     READY |
|              3070 |  2 |   RUNNING |     READY |
|              3071 |  1 |     READY |   RUNNING |
|              3394 |  1 |   RUNNING |   WAITING |
|              3395 |  2 |     READY |   RUNNING |
|              3540 |  1 |   WAITING |     READY |
|              3540 |  2 |   RUNNING |     READY |
|              3541 |  1 |     READY |   RUNNING |
|              3864 |  1 |   RUNNING |   WAITING |
|              3865 |  2 |     READY |   RUNNING |
|              4010 |  1 |   WAITING |     READY |
|              4010 |  2 |   RUNNING |     READY |
|              4011 |  1 |     READY |   RUNNING |
|              4334 |  1 |   RUNNING |   WAITING |
|              4335 |  2 |     READY |   RUNNING |
|              4383 |  2 |   RUNNING |   WAITING |
|              4480 |  1 |   WAITING |     READY |
|              4480 |  1 |     READY |   RUNNING |
|              4572 |  2 |   WAITING |     READY |
|              4803 |  1 |   RUNNING |   WAITING |
|              4804 |  2 |     READY |   RUNNING |
|              4949 |  1 |   WAITING |     READY |
|              4949 |  2 |   RUNNING |     READY |
|              4950 |  1 |     READY |   RUNNING |
|              5273 |  1 |   RUNNING |   WAITING |
|              5274 |  2 |     READY |   RUNNING |
|              5419 |  1 |   WAITING |     READY |
|              5419 |  2 |   RUNNING |     READY |
|              5420 |  1 |     READY |   RUNNING |
|              5743 |  1 |   RUNNING |   WAITING |
|              5744 |  2 |     READY |   RUNNING |
|              5889 |  1 |   WAITING |     READY |
|              5889 |  2 |   RUNNING |     READY |
|              5890 |  1 |     READY |   RUNNING |
|              6213 |  1 |   RUNNING |   WAITING |
|              6214 |  2 |     READY |   RUNNING |
|              6262 |  2 |   RUNNING |   WAITING |
|              6359 |  1 |   WAITING |     READY |
|              6359 |  1 |     READY |   RUNNING |
|              6451 |  2 |   WAITING |     READY |
|              6531 |  1 |   RUNNING |TERMINATED |
|              6532 |  2 |     READY |   RUNNING |
|              7018 |  2 |   RUNNING |   WAITING |
|              7207 |  2 |   WAITING |     READY |
|              7207 |  2 |     READY |   RUNNING |
|              7693 |  2 |   RUNNING |   WAITING |
|              7882 |  2 |   WAITING |     READY |
|              7882 |  2 |     READY |   RUNNING |
|              8368 |  2 |   RUNNING |   WAITING |
|              8557 |  2 |   WAITING |     READY |
|              8557 |  2 |     READY |   RUNNING |
|              9043 |  2 |   RUNNING |   WAITING |
|              9232 |  2 |   WAITING |     READY |
|              9232 |  2 |     READY |   RUNNING |
|              9718 |  2 |   RUNNING |   WAITING |
|              9907 |  2 |   WAITING |     READY |
|              9907 |  2 |     READY |   RUNNING |
|             10349 |  2 |   RUNNING |TERMINATED |
+------------------------------------------------+
