+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|              1140 |  1 |       NEW |     READY |
|              1140 |  1 |     READY |   RUNNING |
|              1369 |  2 |       NEW |     READY |
|              2145 |  1 |   RUNNING |   WAITING |
|              2146 |  2 |     READY |   RUNNING |
|              2278 |  1 |   WAITING |     READY |
|              2278 |  2 |   RUNNING |     READY |
|              2279 |  1 |     READY |   RUNNING |
|              2426 |  3 |       NEW |     READY |
|              3284 |  1 |   RUNNING |   WAITING |
|              3285 |  2 |     READY |   RUNNING |
|              3417 |  1 |   WAITING |     READY |
|              3507 |  4 |       NEW |     READY |
|              3831 |  5 |       NEW |     READY |
|              5474 |  2 |   RUNNING |   WAITING |
|              5475 |  1 |     READY |   RUNNING |
|              5589 |  2 |   WAITING |     READY |
|              6480 |  1 |   RUNNING |   WAITING |
|              6481 |  2 |     READY |   RUNNING |
|              6613 |  1 |   WAITING |     READY |
|              8803 |  2 |   RUNNING |   WAITING |
|              8804 |  1 |     READY |   RUNNING |
|              8918 |  2 |   WAITING |     READY |
|              9809 |  1 |   RUNNING |   WAITING |
|              9810 |  2 |     READY |   RUNNING |
|              9942 |  1 |   WAITING |     READY |
|             12132 |  2 |   RUNNING |   WAITING |
|             12133 |  1 |     READY |   RUNNING |
|             12247 |  2 |   WAITING |     READY |
|             13138 |  1 |   RUNNING |   WAITING |
|             13139 |  2 |     READY |   RUNNING |
|             13271 |  1 |   WAITING |     READY |
|             15461 |  2 |   RUNNING |   WAITING |
|             15462 |  1 |     READY |   RUNNING |
|             15576 |  2 |   WAITING |     READY |
|             16444 |  1 |   RUNNING |TERMINATED |
|             16445 |  6 |       NEW |     READY |
|             16445 |  2 |     READY |   RUNNING |
|             18767 |  2 |   RUNNING |   WAITING |
|             18768 |  3 |     READY |   RUNNING |
|             18882 |  2 |   WAITING |     READY |
|             21195 |  3 |   RUNNING |   WAITING |
|             21196 |  2 |     READY |   RUNNING |
|             21348 |  3 |   WAITING |     READY |
|             22686 |  2 |   RUNNING |TERMINATED |
|             22687 |  3 |     READY |   RUNNING |
|             25114 |  3 |   RUNNING |   WAITING |
|             25115 |  4 |     READY |   RUNNING |
|             25267 |  3 |   WAITING |     READY |
|             26943 |  4 |   RUNNING |   WAITING |
|             26944 |  3 |     READY |   RUNNING |
|             27109 |  4 |   WAITING |     READY |
|             29371 |  3 |   RUNNING |   WAITING |
|             29372 |  4 |     READY |   RUNNING |
|             29524 |  3 |   WAITING |     READY |
|             31200 |  4 |   RUNNING |   WAITING |
|             31201 |  3 |     READY |   RUNNING |
|             31366 |  4 |   WAITING |     READY |
|             31389 |  3 |   RUNNING |TERMINATED |
|             31390 |  4 |     READY |   RUNNING |
|             33218 |  4 |   RUNNING |   WAITING |
|             33219 |  5 |     READY |   RUNNING |
|             33384 |  4 |   WAITING |     READY |
|             35556 |  5 |   RUNNING |   WAITING |
|             35557 |  4 |     READY |   RUNNING |
|             35768 |  5 |   WAITING |     READY |
|             37385 |  4 |   RUNNING |   WAITING |
|             37386 |  5 |     READY |   RUNNING |
|             37551 |  4 |   WAITING |     READY |
|             39723 |  5 |   RUNNING |   WAITING |
|             39724 |  4 |     READY |   RUNNING |
|             39935 |  5 |   WAITING |     READY |
|             41552 |  4 |   RUNNING |   WAITING |
|             41553 |  5 |     READY |   RUNNING |
|             41718 |  4 |   WAITING |     READY |
|             43890 |  5 |   RUNNING |   WAITING |
|             43891 |  4 |     READY |   RUNNING |
|             44102 |  5 |   WAITING |     READY |
|             45719 |  4 |   RUNNING |   WAITING |
|             45720 |  5 |     READY |   RUNNING |
|             45885 |  4 |   WAITING |     READY |
|             48057 |  5 |   RUNNING |   WAITING |
|             48058 |  4 |     READY |   RUNNING |
|             48269 |  5 |   WAITING |     READY |
|             49449 |  4 |   RUNNING |TERMINATED |
|             49450 |  5 |     READY |   RUNNING |
|             50006 |  5 |   RUNNING |TERMINATED |
|             50007 |  6 |     READY |   RUNNING |
|             52018 |  6 |   RUNNING |   WAITING |
|             52160 |  6 |   WAITING |     READY |
|             52160 |  6 |     READY |   RUNNING |
|             54171 |  6 |   RUNNING |   WAITING |
|             54313 |  6 |   WAITING |     READY |
|             54313 |  6 |     READY |   RUNNING |
|             56324 |  6 |   RUNNING |   WAITING |
|             56466 |  6 |   WAITING |     READY |
|             56466 |  6 |     READY |   RUNNING |
|             58477 |  6 |   RUNNING |   WAITING |
|             58619 |  6 |   WAITING |     READY |
|             58619 |  6 |     READY |   RUNNING |
|             59548 |  6 |   RUNNING |TERMINATED |
+------------------------------------------------+
