+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|               855 |  1 |       NEW |     READY |
|               855 |  1 |     READY |   RUNNING |
|              1204 |  1 |   RUNNING |   WAITING |
|              1390 |  1 |   WAITING |     READY |
|              1390 |  1 |     READY |   RUNNING |
|              1674 |  2 |       NEW |     READY |
|              1739 |  1 |   RUNNING |   WAITING |
|              1740 |  2 |     READY |   RUNNING |
|              1925 |  1 |   WAITING |     READY |
|              1925 |  2 |   RUNNING |     READY |
|              1926 |  1 |     READY |   RUNNING |
|              2275 |  1 |   RUNNING |   WAITING |
|              2276 |  2 |     READY |   RUNNING |
|              2377 |  3 |       NEW |     READY |
|              2461 |  1 |   WAITING |     READY |
|              2784 |  4 |       NEW |     READY |
|              6658 |  2 |   RUNNING |   WAITING |
|              6659 |  1 |     READY |   RUNNING |
|              6775 |  2 |   WAITING |     READY |
|              7008 |  1 |   RUNNING |   WAITING |
|              7009 |  2 |     READY |   RUNNING |
|              7194 |  1 |   WAITING |     READY |
|             11577 |  2 |   RUNNING |   WAITING |
|             11578 |  1 |     READY |   RUNNING |
|             11694 |  2 |   WAITING |     READY |
|             11927 |  1 |   RUNNING |   WAITING |
|             11928 |  2 |     READY |   RUNNING |
|             12113 |  1 |   WAITING |     READY |
|             12637 |  2 |   RUNNING |TERMINATED |
|             12638 |  1 |     READY |   RUNNING |
|             12987 |  1 |   RUNNING |   WAITING |
|             12988 |  3 |     READY |   RUNNING |
|             13173 |  1 |   WAITING |     READY |
|             13369 |  3 |   RUNNING |   WAITING |
|             13370 |  1 |     READY |   RUNNING |
|             13551 |  3 |   WAITING |     READY |
|             13719 |  1 |   RUNNING |   WAITING |
|             13720 |  3 |     READY |   RUNNING |
|             13905 |  1 |   WAITING |     READY |
|             14101 |  3 |   RUNNING |   WAITING |
|             14102 |  1 |     READY |   RUNNING |
|             14283 |  3 |   WAITING |     READY |
|             14451 |  1 |   RUNNING |   WAITING |
|             14452 |  3 |     READY |   RUNNING |
|             14637 |  1 |   WAITING |     READY |
|             14833 |  3 |   RUNNING |   WAITING |
|             14834 |  1 |     READY |   RUNNING |
|             15015 |  3 |   WAITING |     READY |
|             15183 |  1 |   RUNNING |   WAITING |
|             15184 |  3 |     READY |   RUNNING |
|             15369 |  1 |   WAITING |     READY |
|             15565 |  3 |   RUNNING |   WAITING |
|             15566 |  1 |     READY |   RUNNING |
|             15747 |  3 |   WAITING |     READY |
|             15915 |  1 |   RUNNING |   WAITING |
|             15916 |  3 |     READY |   RUNNING |
|             16101 |  1 |   WAITING |     READY |
|             16297 |  3 |   RUNNING |   WAITING |
|             16298 |  1 |     READY |   RUNNING |
|             16479 |  3 |   WAITING |     READY |
|             16647 |  1 |   RUNNING |   WAITING |
|             16648 |  3 |     READY |   RUNNING |
|             16833 |  1 |   WAITING |     READY |
|             17029 |  3 |   RUNNING |   WAITING |
|             17030 |  1 |     READY |   RUNNING |
|             17211 |  3 |   WAITING |     READY |
|             17341 |  1 |   RUNNING |TERMINATED |
|             17342 |  3 |     READY |   RUNNING |
|             17723 |  3 |   RUNNING |   WAITING |
|             17724 |  4 |     READY |   RUNNING |
|             17905 |  3 |   WAITING |     READY |
|             17905 |  4 |   RUNNING |     READY |
|             17906 |  3 |     READY |   RUNNING |
|             18287 |  3 |   RUNNING |   WAITING |
|             18288 |  4 |     READY |   RUNNING |
|             18469 |  3 |   WAITING |     READY |
|             18469 |  4 |   RUNNING |     READY |
|             18470 |  3 |     READY |   RUNNING |
|             18851 |  3 |   RUNNING |   WAITING |
|             18852 |  4 |     READY |   RUNNING |
|             19033 |  3 |   WAITING |     READY |
|             19033 |  4 |   RUNNING |     READY |
|             19034 |  3 |     READY |   RUNNING |
|             19415 |  3 |   RUNNING |   WAITING |
|             19416 |  4 |     READY |   RUNNING |
|             19418 |  4 |   RUNNING |   WAITING |
|             19553 |  4 |   WAITING |     READY |
|             19553 |  4 |     READY |   RUNNING |
|             19597 |  3 |   WAITING |     READY |
|             19597 |  4 |   RUNNING |     READY |
|             19598 |  3 |     READY |   RUNNING |
|             19979 |  3 |   RUNNING |   WAITING |
|             19980 |  4 |     READY |   RUNNING |
|             20161 |  3 |   WAITING |     READY |
|             20161 |  4 |   RUNNING |     READY |
|             20162 |  3 |     READY |   RUNNING |
|             20543 |  3 |   RUNNING |   WAITING |
|             20544 |  4 |     READY |   RUNNING |
|             20725 |  3 |   WAITING |     READY |
|             20725 |  4 |   RUNNING |     READY |
|             20726 |  3 |     READY |   RUNNING |
|             21107 |  3 |   RUNNING |   WAITING |
|             21108 |  4 |     READY |   RUNNING |
|             21247 |  4 |   RUNNING |   WAITING |
|             21289 |  3 |   WAITING |     READY |
|             21289 |  3 |     READY |   RUNNING |
|             21382 |  4 |   WAITING |     READY |
|             21670 |  3 |   RUNNING |   WAITING |
|             21671 |  4 |     READY |   RUNNING |
|             21852 |  3 |   WAITING |     READY |
|             21852 |  4 |   RUNNING |     READY |
|             21853 |  3 |     READY |   RUNNING |
|             22234 |  3 |   RUNNING |   WAITING |
|             22235 |  4 |     READY |   RUNNING |
|             22416 |  3 |   WAITING |     READY |
|             22416 |  4 |   RUNNING |     READY |
|             22417 |  3 |     READY |   RUNNING |
|             22798 |  3 |   RUNNING |   WAITING |
|             22799 |  4 |     READY |   RUNNING |
|             22980 |  3 |   WAITING |     READY |
|             22980 |  4 |   RUNNING |     READY |
|             22981 |  3 |     READY |   RUNNING |
|             23362 |  3 |   RUNNING |   WAITING |
|             23363 |  4 |     READY |   RUNNING |
|             23365 |  4 |   RUNNING |   WAITING |
|             23500 |  4 |   WAITING |     READY |
|             23500 |  4 |     READY |   RUNNING |
|             23544 |  3 |   WAITING |     READY |
|             23544 |  4 |   RUNNING |     READY |
|             23545 |  3 |     READY |   RUNNING |
|             23926 |  3 |   RUNNING |   WAITING |
|             23927 |  4 |     READY |   RUNNING |
|             24108 |  3 |   WAITING |     READY |
|             24108 |  4 |   RUNNING |     READY |
|             24109 |  3 |     READY |   RUNNING |
|             24490 |  3 |   RUNNING |   WAITING |
|             24491 |  4 |     READY |   RUNNING |
|             24672 |  3 |   WAITING |     READY |
|             24672 |  4 |   RUNNING |     READY |
|             24673 |  3 |     READY |   RUNNING |
|             25043 |  3 |   RUNNING |TERMINATED |
|             25044 |  4 |     READY |   RUNNING |
|             25183 |  4 |   RUNNING |   WAITING |
|             25318 |  4 |   WAITING |     READY |
|             25318 |  4 |     READY |   RUNNING |
|             25866 |  4 |   RUNNING |   WAITING |
|             26001 |  4 |   WAITING |     READY |
|             26001 |  4 |     READY |   RUNNING |
|             26549 |  4 |   RUNNING |   WAITING |
|             26684 |  4 |   WAITING |     READY |
|             26684 |  4 |     READY |   RUNNING |
|             27232 |  4 |   RUNNING |   WAITING |
|             27367 |  4 |   WAITING |     READY |
|             27367 |  4 |     READY |   RUNNING |
|             27915 |  4 |   RUNNING |   WAITING |
|             28050 |  4 |   WAITING |     READY |
|             28050 |  4 |     READY |   RUNNING |
|             28598 |  4 |   RUNNING |   WAITING |
|             28733 |  4 |   WAITING |     READY |
|             28733 |  4 |     READY |   RUNNING |
|             29281 |  4 |   RUNNING |   WAITING |
|             29416 |  4 |   WAITING |     READY |
|             29416 |  4 |     READY |   RUNNING |
|             29964 |  4 |   RUNNING |   WAITING |
|             30099 |  4 |   WAITING |     READY |
|             30099 |  4 |     READY |   RUNNING |
|             30647 |  4 |   RUNNING |   WAITING |
|             30782 |  4 |   WAITING |     READY |
|             30782 |  4 |     READY |   RUNNING |
|             31330 |  4 |   RUNNING |   WAITING |
|             31465 |  4 |   WAITING |     READY |
|             31465 |  4 |     READY |   RUNNING |
|             32013 |  4 |   RUNNING |   WAITING |
|             32148 |  4 |   WAITING |     READY |
|             32148 |  4 |     READY |   RUNNING |
|             32190 |  4 |   RUNNING |TERMINATED |
+------------------------------------------------+
