+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|               332 |  1 |       NEW |     READY |
|               332 |  1 |     READY |   RUNNING |
|               895 |  2 |       NEW |     READY |
|              1925 |  3 |       NEW |     READY |
|              4695 |  1 |   RUNNING |   WAITING |
|              4696 |  2 |     READY |   RUNNING |
|              4750 |  1 |   WAITING |     READY |
|              5061 |  2 |   RUNNING |   WAITING |
|              5062 |  1 |     READY |   RUNNING |
|              5276 |  2 |   WAITING |     READY |
|              7341 |  1 |   RUNNING |TERMINATED |
|              7342 |  2 |     READY |   RUNNING |
|              7707 |  2 |   RUNNING |   WAITING |
|              7708 |  3 |     READY |   RUNNING |
|              7922 |  2 |   WAITING |     READY |
|              7922 |  3 |   RUNNING |     READY |
|              7923 |  2 |     READY |   RUNNING |
|              8288 |  2 |   RUNNING |   WAITING |
|              8289 |  3 |     READY |   RUNNING |
|              8503 |  2 |   WAITING |     READY |
|              8503 |  3 |   RUNNING |     READY |
|              8504 |  2 |     READY |   RUNNING |
|              8869 |  2 |   RUNNING |   WAITING |
|              8870 |  3 |     READY |   RUNNING |
|              9084 |  2 |   WAITING |     READY |
|              9084 |  3 |   RUNNING |     READY |
|              9085 |  2 |     READY |   RUNNING |
|              9450 |  2 |   RUNNING |   WAITING |
|              9451 |  3 |     READY |   RUNNING |
|              9665 |  2 |   WAITING |     READY |
|              9665 |  3 |   RUNNING |     READY |
|              9666 |  2 |     READY |   RUNNING |
|             10031 |  2 |   RUNNING |   WAITING |
|             10032 |  3 |     READY |   RUNNING |
|             10246 |  2 |   WAITING |     READY |
|             10246 |  3 |   RUNNING |     READY |
|             10247 |  2 |     READY |   RUNNING |
|             10612 |  2 |   RUNNING |   WAITING |
|             10613 |  3 |     READY |   RUNNING |
|             10827 |  2 |   WAITING |     READY |
|             10827 |  3 |   RUNNING |     READY |
|             10828 |  2 |     READY |   RUNNING |
|             11193 |  2 |   RUNNING |   WAITING |
|             11194 |  3 |     READY |   RUNNING |
|             11408 |  2 |   WAITING |     READY |
|             11408 |  3 |   RUNNING |     READY |
|             11409 |  2 |     READY |   RUNNING |
|             11774 |  2 |   RUNNING |   WAITING |
|             11775 |  3 |     READY |   RUNNING |
|             11989 |  2 |   WAITING |     READY |
|             11989 |  3 |   RUNNING |     READY |
|             11990 |  2 |     READY |   RUNNING |
|             12355 |  2 |   RUNNING |   WAITING |
|             12356 |  3 |     READY |   RUNNING |
|             12570 |  2 |   WAITING |     READY |
|             12570 |  3 |   RUNNING |     READY |
|             12571 |  2 |     READY |   RUNNING |
|             12936 |  2 |   RUNNING |   WAITING |
|             12937 |  3 |     READY |   RUNNING |
|             13151 |  2 |   WAITING |     READY |
|             13151 |  3 |   RUNNING |     READY |
