+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|               279 |  1 |       NEW |     READY |
|               279 |  1 |     READY |   RUNNING |
|               378 |  1 |   RUNNING |     READY |
|               379 |  1 |     READY |   RUNNING |
|               478 |  1 |   RUNNING |     READY |
|               479 |  1 |     READY |   RUNNING |
|               578 |  1 |   RUNNING |     READY |
|               579 |  1 |     READY |   RUNNING |
|               678 |  1 |   RUNNING |     READY |
|               679 |  1 |     READY |   RUNNING |
|               778 |  1 |   RUNNING |     READY |
|               779 |  1 |     READY |   RUNNING |
|               878 |  1 |   RUNNING |     READY |
|               879 |  1 |     READY |   RUNNING |
|               978 |  1 |   RUNNING |     READY |
|               979 |  1 |     READY |   RUNNING |
|              1078 |  1 |   RUNNING |     READY |
|              1079 |  1 |     READY |   RUNNING |
|              1094 |  2 |       NEW |     READY |
|              1178 |  1 |   RUNNING |     READY |
|              1179 |  2 |     READY |   RUNNING |
|              1278 |  2 |   RUNNING |     READY |
|              1279 |  1 |     READY |   RUNNING |
|              1378 |  1 |   RUNNING |     READY |
|              1379 |  2 |     READY |   RUNNING |
|              1478 |  2 |   RUNNING |     READY |
|              1479 |  1 |     READY |   RUNNING |
|              1578 |  1 |   RUNNING |     READY |
|              1579 |  2 |     READY |   RUNNING |
|              1678 |  2 |   RUNNING |     READY |
|              1679 |  1 |     READY |   RUNNING |
|              1778 |  1 |   RUNNING |     READY |
|              1779 |  2 |     READY |   RUNNING |
|              1878 |  2 |   RUNNING |     READY |
|              1879 |  1 |     READY |   RUNNING |
|              1978 |  1 |   RUNNING |     READY |
|              1979 |  2 |     READY |   RUNNING |
|              2078 |  2 |   RUNNING |     READY |
|              2079 |  1 |     READY |   RUNNING |
|              2178 |  1 |   RUNNING |     READY |
|              2179 |  2 |     READY |   RUNNING |
|              2211 |  3 |       NEW |     READY |
|              2278 |  2 |   RUNNING |     READY |
|              2279 |  1 |     READY |   RUNNING |
|              2283 |  1 |   RUNNING |   WAITING |
|              2284 |  3 |     READY |   RUNNING |
|              2343 |  1 |   WAITING |     READY |
|              2383 |  3 |   RUNNING |     READY |
|              2384 |  2 |     READY |   RUNNING |
|              2483 |  2 |   RUNNING |     READY |
|              2484 |  1 |     READY |   RUNNING |
|              2583 |  1 |   RUNNING |     READY |
|              2584 |  3 |     READY |   RUNNING |
|              2683 |  3 |   RUNNING |     READY |
|              2684 |  2 |     READY |   RUNNING |
|              2783 |  2 |   RUNNING |     READY |
|              2784 |  1 |     READY |   RUNNING |
|              2883 |  1 |   RUNNING |     READY |
|              2884 |  3 |     READY |   RUNNING |
|              2983 |  3 |   RUNNING |     READY |
|              2984 |  2 |     READY |   RUNNING |
|              3083 |  2 |   RUNNING |     READY |
|              3084 |  1 |     READY |   RUNNING |
|              3183 |  1 |   RUNNING |     READY |
|              3184 |  3 |     READY |   RUNNING |
|              3283 |  3 |   RUNNING |     READY |
|              3284 |  2 |     READY |   RUNNING |
|              3383 |  2 |   RUNNING |     READY |
|              3384 |  1 |     READY |   RUNNING |
|              3483 |  1 |   RUNNING |     READY |
|              3484 |  3 |     READY |   RUNNING |
|              3557 |  5 |       NEW |     READY |
|              3583 |  3 |   RUNNING |     READY |
|              3584 |  2 |     READY |   RUNNING |
|              3683 |  2 |   RUNNING |     READY |
|              3684 |  1 |     READY |   RUNNING |
|              3783 |  1 |   RUNNING |     READY |
|              3784 |  5 |     READY |   RUNNING |
|              3883 |  5 |   RUNNING |     READY |
|              3884 |  3 |     READY |   RUNNING |
|              3983 |  3 |   RUNNING |     READY |
|              3984 |  2 |     READY |   RUNNING |
|              4083 |  2 |   RUNNING |     READY |
|              4084 |  1 |     READY |   RUNNING |
|              4183 |  1 |   RUNNING |     READY |
|              4184 |  5 |     READY |   RUNNING |
|              4283 |  5 |   RUNNING |     READY |
|              4284 |  3 |     READY |   RUNNING |
|              4383 |  3 |   RUNNING |     READY |
|              4384 |  2 |     READY |   RUNNING |
|              4483 |  2 |   RUNNING |     READY |
|              4484 |  1 |     READY |   RUNNING |
|              4583 |  1 |   RUNNING |     READY |
|              4584 |  5 |     READY |   RUNNING |
|              4668 |  6 |       NEW |     READY |
|              4683 |  5 |   RUNNING |     READY |
|              4684 |  3 |     READY |   RUNNING |
|              4783 |  3 |   RUNNING |     READY |
|              4784 |  2 |     READY |   RUNNING |
|              4877 |  7 |       NEW |     READY |
|              4883 |  2 |   RUNNING |     READY |
