+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|               722 |  1 |       NEW |     READY |
|               722 |  1 |     READY |   RUNNING |
|               730 |  2 |       NEW |     READY |
|               821 |  1 |   RUNNING |     READY |
|               822 |  2 |     READY |   RUNNING |
|               921 |  2 |   RUNNING |     READY |
|               922 |  1 |     READY |   RUNNING |
|              1021 |  1 |   RUNNING |     READY |
|              1022 |  2 |     READY |   RUNNING |
|              1121 |  2 |   RUNNING |     READY |
|              1122 |  1 |     READY |   RUNNING |
|              1221 |  1 |   RUNNING |     READY |
|              1222 |  2 |     READY |   RUNNING |
|              1321 |  2 |   RUNNING |     READY |
|              1322 |  1 |     READY |   RUNNING |
|              1345 |  1 |   RUNNING |   WAITING |
|              1346 |  2 |     READY |   RUNNING |
|              1445 |  2 |   RUNNING |     READY |
|              1446 |  2 |     READY |   RUNNING |
|              1491 |  1 |   WAITING |     READY |
|              1532 |  2 |   RUNNING |   WAITING |
|              1533 |  1 |     READY |   RUNNING |
|              1632 |  1 |   RUNNING |     READY |
|              1633 |  1 |     READY |   RUNNING |
|              1721 |  2 |   WAITING |     READY |
|              1732 |  1 |   RUNNING |     READY |
|              1733 |  2 |     READY |   RUNNING |
|              1832 |  2 |   RUNNING |     READY |
|              1833 |  1 |     READY |   RUNNING |
|              1932 |  1 |   RUNNING |     READY |
|              1933 |  2 |     READY |   RUNNING |
|              2032 |  2 |   RUNNING |     READY |
|              2033 |  1 |     READY |   RUNNING |
|              2056 |  1 |   RUNNING |   WAITING |
|              2057 |  2 |     READY |   RUNNING |
|              2156 |  2 |   RUNNING |     READY |
|              2157 |  2 |     READY |   RUNNING |
|              2202 |  1 |   WAITING |     READY |
|              2256 |  2 |   RUNNING |     READY |
|              2257 |  1 |     READY |   RUNNING |
|              2356 |  1 |   RUNNING |     READY |
|              2357 |  2 |     READY |   RUNNING |
|              2443 |  2 |   RUNNING |   WAITING |
|              2444 |  1 |     READY |   RUNNING |
|              2543 |  1 |   RUNNING |     READY |
|              2544 |  1 |     READY |   RUNNING |
|              2632 |  2 |   WAITING |     READY |
|              2643 |  1 |   RUNNING |     READY |
|              2644 |  2 |     READY |   RUNNING |
|              2743 |  2 |   RUNNING |     READY |
|              2744 |  1 |     READY |   RUNNING |
|              2767 |  1 |   RUNNING |   WAITING |
|              2768 |  2 |     READY |   RUNNING |
|              2867 |  2 |   RUNNING |     READY |
|              2868 |  2 |     READY |   RUNNING |
|              2913 |  1 |   WAITING |     READY |
|              2967 |  2 |   RUNNING |     READY |
|              2968 |  1 |     READY |   RUNNING |
|              3067 |  1 |   RUNNING |     READY |
|              3068 |  2 |     READY |   RUNNING |
|              3167 |  2 |   RUNNING |     READY |
|              3168 |  1 |     READY |   RUNNING |
|              3267 |  1 |   RUNNING |     READY |
|              3268 |  2 |     READY |   RUNNING |
|              3354 |  2 |   RUNNING |   WAITING |
|              3355 |  1 |     READY |   RUNNING |
|              3454 |  1 |   RUNNING |     READY |
|              3455 |  1 |     READY |   RUNNING |
