+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                37 |  1 |       NEW |     READY |
|                37 |  1 |     READY |   RUNNING |
|               136 |  1 |   RUNNING |     READY |
|               137 |  1 |     READY |   RUNNING |
|               173 |  2 |       NEW |     READY |
|               236 |  1 |   RUNNING |     READY |
|               237 |  2 |     READY |   RUNNING |
|               252 |  3 |       NEW |     READY |
|               336 |  2 |   RUNNING |     READY |
|               337 |  1 |     READY |   RUNNING |
|               436 |  1 |   RUNNING |     READY |
|               437 |  3 |     READY |   RUNNING |
|               536 |  3 |   RUNNING |     READY |
|               537 |  2 |     READY |   RUNNING |
|               636 |  2 |   RUNNING |     READY |
|               637 |  1 |     READY |   RUNNING |
|               736 |  1 |   RUNNING |     READY |
|               737 |  3 |     READY |   RUNNING |
|               836 |  3 |   RUNNING |     READY |
|               837 |  2 |     READY |   RUNNING |
|               936 |  2 |   RUNNING |     READY |
|               937 |  1 |     READY |   RUNNING |
|              1036 |  1 |   RUNNING |     READY |
|              1037 |  3 |     READY |   RUNNING |
|              1136 |  3 |   RUNNING |     READY |
|              1137 |  2 |     READY |   RUNNING |
|              1169 |  4 |       NEW |     READY |
|              1236 |  2 |   RUNNING |     READY |
|              1237 |  1 |     READY |   RUNNING |
|              1336 |  1 |   RUNNING |     READY |
|              1337 |  3 |     READY |   RUNNING |
|              1436 |  3 |   RUNNING |     READY |
|              1437 |  4 |     READY |   RUNNING |
|              1536 |  4 |   RUNNING |     READY |
|              1537 |  2 |     READY |   RUNNING |
|              1636 |  2 |   RUNNING |     READY |
|              1637 |  1 |     READY |   RUNNING |
|              1736 |  1 |   RUNNING |     READY |
|              1737 |  3 |     READY |   RUNNING |
|              1836 |  3 |   RUNNING |     READY |
|              1837 |  4 |     READY |   RUNNING |
|              1936 |  4 |   RUNNING |     READY |
|              1937 |  2 |     READY |   RUNNING |
|              2036 |  2 |   RUNNING |     READY |
|              2037 |  1 |     READY |   RUNNING |
|              2136 |  1 |   RUNNING |     READY |
|              2137 |  3 |     READY |   RUNNING |
|              2236 |  3 |   RUNNING |     READY |
|              2237 |  4 |     READY |   RUNNING |
|              2336 |  4 |   RUNNING |     READY |
|              2337 |  2 |     READY |   RUNNING |
|              2436 |  2 |   RUNNING |     READY |
|              2437 |  1 |     READY |   RUNNING |
|              2536 |  1 |   RUNNING |     READY |
|              2537 |  3 |     READY |   RUNNING |
|              2636 |  3 |   RUNNING |     READY |
|              2637 |  4 |     READY |   RUNNING |
|              2736 |  4 |   RUNNING |     READY |
|              2737 |  2 |     READY |   RUNNING |
|              2836 |  2 |   RUNNING |     READY |
|              2837 |  1 |     READY |   RUNNING |
|              2936 |  1 |   RUNNING |     READY |
|              2937 |  3 |     READY |   RUNNING |
|              3036 |  3 |   RUNNING |     READY |
|              3037 |  4 |     READY |   RUNNING |
|              3136 |  4 |   RUNNING |     READY |
|              3137 |  2 |     READY |   RUNNING |
|              3236 |  2 |   RUNNING |     READY |
|              3237 |  1 |     READY |   RUNNING |
|              3336 |  1 |   RUNNING |     READY |
|              3337 |  3 |     READY |   RUNNING |
|              3436 |  3 |   RUNNING |     READY |
|              3437 |  4 |     READY |   RUNNING |
|              3536 |  4 |   RUNNING |     READY |
|              3537 |  2 |     READY |   RUNNING |
|              3636 |  2 |   RUNNING |     READY |
|              3637 |  1 |     READY |   RUNNING |
|              3736 |  1 |   RUNNING |     READY |
|              3737 |  3 |     READY |   RUNNING |
|              3836 |  3 |   RUNNING |     READY |
|              3837 |  4 |     READY |   RUNNING |
|              3936 |  4 |   RUNNING |     READY |
|              3937 |  2 |     READY |   RUNNING |
|              4036 |  2 |   RUNNING |     READY |
|              4037 |  1 |     READY |   RUNNING |
|              4136 |  1 |   RUNNING |     READY |
|              4137 |  3 |     READY |   RUNNING |
|              4236 |  3 |   RUNNING |     READY |
|              4237 |  4 |     READY |   RUNNING |
|              4336 |  4 |   RUNNING |     READY |
|              4337 |  2 |     READY |   RUNNING |
|              4436 |  2 |   RUNNING |     READY |
|              4437 |  1 |     READY |   RUNNING |
|              4536 |  1 |   RUNNING |     READY |
|              4537 |  3 |     READY |   RUNNING |
|              4636 |  3 |   RUNNING |     READY |
|              4637 |  4 |     READY |   RUNNING |
|              4736 |  4 |   RUNNING |     READY |
|              4737 |  2 |     READY |   RUNNING |
|              4836 |  2 |   RUNNING |     READY |
|              4837 |  1 |     READY |   RUNNING |
|              4936 |  1 |   RUNNING |     READY |
|              4937 |  3 |     READY |   RUNNING |
|              5036 |  3 |   RUNNING |     READY |
|              5037 |  4 |     READY |   RUNNING |
|              5136 |  4 |   RUNNING |     READY |
|              5137 |  2 |     READY |   RUNNING |
|              5236 |  2 |   RUNNING |     READY |
|              5237 |  1 |     READY |   RUNNING |
|              5336 |  1 |   RUNNING |     READY |
|              5337 |  3 |     READY |   RUNNING |
|              5436 |  3 |   RUNNING |     READY |
|              5437 |  4 |     READY |   RUNNING |
|              5536 |  4 |   RUNNING |     READY |
|              5537 |  2 |     READY |   RUNNING |
|              5636 |  2 |   RUNNING |     READY |
|              5637 |  1 |     READY |   RUNNING |
|              5736 |  1 |   RUNNING |     READY |
|              5737 |  3 |     READY |   RUNNING |
|              5836 |  3 |   RUNNING |     READY |
|              5837 |  4 |     READY |   RUNNING |
|              5936 |  4 |   RUNNING |     READY |
|              5937 |  2 |     READY |   RUNNING |
|              6036 |  2 |   RUNNING |     READY |
|              6037 |  1 |     READY |   RUNNING |
|              6136 |  1 |   RUNNING |     READY |
|              6137 |  3 |     READY |   RUNNING |
|              6236 |  3 |   RUNNING |     READY |
|              6237 |  4 |     READY |   RUNNING |
|              6336 |  4 |   RUNNING |     READY |
|              6337 |  2 |     READY |   RUNNING |
|              6436 |  2 |   RUNNING |     READY |
|              6437 |  1 |     READY |   RUNNING |
|              6536 |  1 |   RUNNING |     READY |
|              6537 |  3 |     READY |   RUNNING |
|              6636 |  3 |   RUNNING |     READY |
|              6637 |  4 |     READY |   RUNNING |
|              6736 |  4 |   RUNNING |     READY |
|              6737 |  2 |     READY |   RUNNING |
|              6836 |  2 |   RUNNING |     READY |
|              6837 |  1 |     READY |   RUNNING |
|              6936 |  1 |   RUNNING |     READY |
|              6937 |  3 |     READY |   RUNNING |
|              7036 |  3 |   RUNNING |     READY |
|              7037 |  4 |     READY |   RUNNING |
|              7136 |  4 |   RUNNING |     READY |
|              7137 |  2 |     READY |   RUNNING |
|              7236 |  2 |   RUNNING |     READY |
|              7237 |  1 |     READY |   RUNNING |
|              7237 |  1 |   RUNNING |   WAITING |
|              7238 |  3 |     READY |   RUNNING |
|              7337 |  3 |   RUNNING |     READY |
|              7338 |  4 |     READY |   RUNNING |
|              7340 |  1 |   WAITING |     READY |
|              7437 |  4 |   RUNNING |     READY |
|              7438 |  2 |     READY |   RUNNING |
|              7537 |  2 |   RUNNING |     READY |
|              7538 |  3 |     READY |   RUNNING |
|              7637 |  3 |   RUNNING |     READY |
|              7638 |  1 |     READY |   RUNNING |
|              7737 |  1 |   RUNNING |     READY |
|              7738 |  4 |     READY |   RUNNING |
|              7837 |  4 |   RUNNING |     READY |
|              7838 |  2 |     READY |   RUNNING |
|              7937 |  2 |   RUNNING |     READY |
|              7938 |  3 |     READY |   RUNNING |
|              8037 |  3 |   RUNNING |     READY |
|              8038 |  1 |     READY |   RUNNING |
|              8137 |  1 |   RUNNING |     READY |
|              8138 |  4 |     READY |   RUNNING |
|              8237 |  4 |   RUNNING |     READY |
|              8238 |  2 |     READY |   RUNNING |
|              8337 |  2 |   RUNNING |     READY |
|              8338 |  3 |     READY |   RUNNING |
|              8437 |  3 |   RUNNING |     READY |
|              8438 |  1 |     READY |   RUNNING |
|              8537 |  1 |   RUNNING |     READY |
|              8538 |  4 |     READY |   RUNNING |
|              8637 |  4 |   RUNNING |     READY |
|              8638 |  2 |     READY |   RUNNING |
|              8737 |  2 |   RUNNING |     READY |
|              8738 |  3 |     READY |   RUNNING |
|              8837 |  3 |   RUNNING |     READY |
|              8838 |  1 |     READY |   RUNNING |
|              8937 |  1 |   RUNNING |     READY |
|              8938 |  4 |     READY |   RUNNING |
|              9037 |  4 |   RUNNING |     READY |
|              9038 |  2 |     READY |   RUNNING |
|              9137 |  2 |   RUNNING |     READY |
|              9138 |  3 |     READY |   RUNNING |
|              9237 |  3 |   RUNNING |     READY |
|              9238 |  1 |     READY |   RUNNING |
|              9337 |  1 |   RUNNING |     READY |
