+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|              1061 |  1 |       NEW |     READY |
|              1061 |  1 |     READY |   RUNNING |
|              1160 |  1 |   RUNNING |     READY |
|              1161 |  1 |     READY |   RUNNING |
|              1260 |  1 |   RUNNING |     READY |
|              1261 |  1 |     READY |   RUNNING |
|              1295 |  2 |       NEW |     READY |
|              1360 |  1 |   RUNNING |     READY |
|              1361 |  2 |     READY |   RUNNING |
|              1460 |  2 |   RUNNING |     READY |
|              1461 |  1 |     READY |   RUNNING |
|              1560 |  1 |   RUNNING |     READY |
|              1561 |  2 |     READY |   RUNNING |
|              1660 |  2 |   RUNNING |     READY |
|              1661 |  1 |     READY |   RUNNING |
|              1760 |  1 |   RUNNING |     READY |
|              1761 |  2 |     READY |   RUNNING |
|              1860 |  2 |   RUNNING |     READY |
|              1861 |  1 |     READY |   RUNNING |
|              1960 |  1 |   RUNNING |     READY |
|              1961 |  2 |     READY |   RUNNING |
|              2060 |  2 |   RUNNING |     READY |
|              2061 |  1 |     READY |   RUNNING |
|              2101 |  3 |       NEW |     READY |
|              2160 |  1 |   RUNNING |     READY |
|              2161 |  2 |     READY |   RUNNING |
|              2232 |  4 |       NEW |     READY |
|              2260 |  2 |   RUNNING |     READY |
|              2261 |  3 |     READY |   RUNNING |
|              2360 |  3 |   RUNNING |     READY |
|              2361 |  1 |     READY |   RUNNING |
|              2460 |  1 |   RUNNING |     READY |
|              2461 |  4 |     READY |   RUNNING |
|              2560 |  4 |   RUNNING |     READY |
|              2561 |  2 |     READY |   RUNNING |
|              2631 |  2 |   RUNNING |   WAITING |
|              2632 |  3 |     READY |   RUNNING |
|              2731 |  3 |   RUNNING |     READY |
|              2732 |  1 |     READY |   RUNNING |
|              2755 |  2 |   WAITING |     READY |
|              2831 |  1 |   RUNNING |     READY |
|              2832 |  4 |     READY |   RUNNING |
|              2931 |  4 |   RUNNING |     READY |
|              2932 |  3 |     READY |   RUNNING |
|              3031 |  3 |   RUNNING |     READY |
|              3032 |  2 |     READY |   RUNNING |
|              3131 |  2 |   RUNNING |     READY |
|              3132 |  1 |     READY |   RUNNING |
|              3159 |  6 |       NEW |     READY |
|              3231 |  1 |   RUNNING |     READY |
|              3232 |  4 |     READY |   RUNNING |
|              3331 |  4 |   RUNNING |     READY |
|              3332 |  3 |     READY |   RUNNING |
|              3431 |  3 |   RUNNING |     READY |
|              3432 |  2 |     READY |   RUNNING |
|              3531 |  2 |   RUNNING |     READY |
|              3532 |  6 |     READY |   RUNNING |
|              3549 |  7 |       NEW |     READY |
|              3631 |  6 |   RUNNING |     READY |
|              3632 |  1 |     READY |   RUNNING |
|              3731 |  1 |   RUNNING |     READY |
|              3732 |  4 |     READY |   RUNNING |
|              3831 |  4 |   RUNNING |     READY |
|              3832 |  3 |     READY |   RUNNING |
|              3931 |  3 |   RUNNING |     READY |
|              3932 |  2 |     READY |   RUNNING |
|              4031 |  2 |   RUNNING |     READY |
|              4032 |  7 |     READY |   RUNNING |
|              4131 |  7 |   RUNNING |     READY |
|              4132 |  6 |     READY |   RUNNING |
|              4231 |  6 |   RUNNING |     READY |
|              4232 |  1 |     READY |   RUNNING |
|              4331 |  1 |   RUNNING |     READY |
|              4332 |  4 |     READY |   RUNNING |
|              4431 |  4 |   RUNNING |     READY |
|              4432 |  3 |     READY |   RUNNING |
|              4531 |  3 |   RUNNING |     READY |
|              4532 |  2 |     READY |   RUNNING |
|              4631 |  2 |   RUNNING |     READY |
|              4632 |  7 |     READY |   RUNNING |
