+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|               342 |  1 |       NEW |     READY |
|               342 |  1 |     READY |   RUNNING |
|               441 |  1 |   RUNNING |     READY |
|               442 |  1 |     READY |   RUNNING |
|               541 |  1 |   RUNNING |     READY |
|               542 |  1 |     READY |   RUNNING |
|               641 |  1 |   RUNNING |     READY |
|               642 |  1 |     READY |   RUNNING |
|               741 |  1 |   RUNNING |     READY |
|               742 |  1 |     READY |   RUNNING |
|               841 |  1 |   RUNNING |     READY |
|               842 |  1 |     READY |   RUNNING |
|               941 |  1 |   RUNNING |     READY |
|               942 |  1 |     READY |   RUNNING |
|              1041 |  1 |   RUNNING |     READY |
|              1042 |  1 |     READY |   RUNNING |
|              1141 |  1 |   RUNNING |     READY |
|              1142 |  1 |     READY |   RUNNING |
|              1241 |  1 |   RUNNING |     READY |
|              1242 |  1 |     READY |   RUNNING |
|              1341 |  1 |   RUNNING |     READY |
|              1342 |  1 |     READY |   RUNNING |
|              1441 |  1 |   RUNNING |     READY |
|              1442 |  1 |     READY |   RUNNING |
|              1540 |  2 |       NEW |     READY |
|              1541 |  1 |   RUNNING |     READY |
|              1542 |  2 |     READY |   RUNNING |
|              1641 |  2 |   RUNNING |     READY |
|              1642 |  1 |     READY |   RUNNING |
|              1695 |  1 |   RUNNING |   WAITING |
|              1696 |  2 |     READY |   RUNNING |
|              1795 |  2 |   RUNNING |     READY |
|              1796 |  2 |     READY |   RUNNING |
|              1892 |  1 |   WAITING |     READY |
|              1895 |  2 |   RUNNING |     READY |
|              1896 |  1 |     READY |   RUNNING |
|              1995 |  1 |   RUNNING |     READY |
|              1996 |  2 |     READY |   RUNNING |
|              2095 |  2 |   RUNNING |     READY |
|              2096 |  1 |     READY |   RUNNING |
|              2195 |  1 |   RUNNING |     READY |
|              2196 |  2 |     READY |   RUNNING |
|              2295 |  2 |   RUNNING |     READY |
|              2296 |  1 |     READY |   RUNNING |
|              2395 |  1 |   RUNNING |     READY |
