+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|               241 |  1 |       NEW |     READY |
|               241 |  1 |     READY |   RUNNING |
|               340 |  1 |   RUNNING |     READY |
|               341 |  1 |     READY |   RUNNING |
|               440 |  1 |   RUNNING |     READY |
|               441 |  1 |     READY |   RUNNING |
|               540 |  1 |   RUNNING |     READY |
|               541 |  1 |     READY |   RUNNING |
|               640 |  1 |   RUNNING |     READY |
|               641 |  1 |     READY |   RUNNING |
|               740 |  1 |   RUNNING |     READY |
|               741 |  1 |     READY |   RUNNING |
|               840 |  1 |   RUNNING |     READY |
|               841 |  1 |     READY |   RUNNING |
|               940 |  1 |   RUNNING |     READY |
|               941 |  1 |     READY |   RUNNING |
|              1040 |  1 |   RUNNING |     READY |
|              1041 |  1 |     READY |   RUNNING |
|              1140 |  1 |   RUNNING |     READY |
|              1141 |  1 |     READY |   RUNNING |
|              1240 |  1 |   RUNNING |     READY |
|              1241 |  1 |     READY |   RUNNING |
|              1340 |  1 |   RUNNING |     READY |
|              1341 |  1 |     READY |   RUNNING |
|              1440 |  1 |   RUNNING |     READY |
|              1441 |  1 |     READY |   RUNNING |
|              1540 |  1 |   RUNNING |     READY |
|              1541 |  1 |     READY |   RUNNING |
|              1640 |  1 |   RUNNING |     READY |
|              1641 |  1 |     READY |   RUNNING |
|              1740 |  1 |   RUNNING |     READY |
|              1741 |  1 |     READY |   RUNNING |
|              1840 |  1 |   RUNNING |     READY |
|              1841 |  1 |     READY |   RUNNING |
|              1940 |  1 |   RUNNING |     READY |
|              1941 |  1 |     READY |   RUNNING |
|              2040 |  1 |   RUNNING |     READY |
|              2041 |  1 |     READY |   RUNNING |
|              2140 |  1 |   RUNNING |     READY |
|              2141 |  1 |     READY |   RUNNING |
|              2240 |  1 |   RUNNING |     READY |
|              2241 |  1 |     READY |   RUNNING |
|              2340 |  1 |   RUNNING |     READY |
|              2341 |  1 |     READY |   RUNNING |
|              2440 |  1 |   RUNNING |     READY |
|              2441 |  1 |     READY |   RUNNING |
|              2540 |  1 |   RUNNING |     READY |
|              2541 |  1 |     READY |   RUNNING |
|              2640 |  1 |   RUNNING |     READY |
|              2641 |  1 |     READY |   RUNNING |
|              2740 |  1 |   RUNNING |     READY |
|              2741 |  1 |     READY |   RUNNING |
|              2840 |  1 |   RUNNING |     READY |
|              2841 |  1 |     READY |   RUNNING |
|              2940 |  1 |   RUNNING |     READY |
|              2941 |  1 |     READY |   RUNNING |
|              3040 |  1 |   RUNNING |     READY |
|              3041 |  1 |     READY |   RUNNING |
|              3140 |  1 |   RUNNING |     READY |
|              3141 |  1 |     READY |   RUNNING |
|              3240 |  1 |   RUNNING |     READY |
|              3241 |  1 |     READY |   RUNNING |
|              3340 |  1 |   RUNNING |     READY |
|              3341 |  1 |     READY |   RUNNING |
|              3440 |  1 |   RUNNING |     READY |
|              3441 |  1 |     READY |   RUNNING |
|              3540 |  1 |   RUNNING |     READY |
|              3541 |  1 |     READY |   RUNNING |
|              3640 |  1 |   RUNNING |     READY |
|              3641 |  1 |     READY |   RUNNING |
|              3740 |  1 |   RUNNING |     READY |
|              3741 |  1 |     READY |   RUNNING |
|              3840 |  1 |   RUNNING |     READY |
|              3841 |  1 |     READY |   RUNNING |
|              3940 |  1 |   RUNNING |     READY |
|              3941 |  1 |     READY |   RUNNING |
|              4040 |  1 |   RUNNING |     READY |
|              4041 |  1 |     READY |   RUNNING |
|              4140 |  1 |   RUNNING |     READY |
|              4141 |  1 |     READY |   RUNNING |
|              4240 |  1 |   RUNNING |     READY |
|              4241 |  1 |     READY |   RUNNING |
|              4340 |  1 |   RUNNING |     READY |
|              4341 |  1 |     READY |   RUNNING |
|              4440 |  1 |   RUNNING |     READY |
|              4441 |  1 |     READY |   RUNNING |
|              4540 |  1 |   RUNNING |     READY |
|              4541 |  1 |     READY |   RUNNING |
|              4640 |  1 |   RUNNING |     READY |
|              4641 |  1 |     READY |   RUNNING |
|              4740 |  1 |   RUNNING |     READY |
|              4741 |  1 |     READY |   RUNNING |
|              4840 |  1 |   RUNNING |     READY |
|              4841 |  1 |     READY |   RUNNING |
|              4940 |  1 |   RUNNING |     READY |
|              4941 |  1 |     READY |   RUNNING |
|              5040 |  1 |   RUNNING |     READY |
|              5041 |  1 |     READY |   RUNNING |
|              5140 |  1 |   RUNNING |     READY |
|              5141 |  1 |     READY |   RUNNING |
|              5240 |  1 |   RUNNING |     READY |
|              5241 |  1 |     READY |   RUNNING |
|              5340 |  1 |   RUNNING |     READY |
|              5341 |  1 |     READY |   RUNNING |
|              5440 |  1 |   RUNNING |     READY |
|              5441 |  1 |     READY |   RUNNING |
|              5540 |  1 |   RUNNING |     READY |
|              5541 |  1 |     READY |   RUNNING |
|              5640 |  1 |   RUNNING |     READY |
|              5641 |  1 |     READY |   RUNNING |
|              5740 |  1 |   RUNNING |     READY |
|              5741 |  1 |     READY |   RUNNING |
|              5816 |  1 |   RUNNING |   WAITING |
|              5928 |  1 |   WAITING |     READY |
|              5928 |  1 |     READY |   RUNNING |
|              6027 |  1 |   RUNNING |     READY |
|              6028 |  1 |     READY |   RUNNING |
|              6127 |  1 |   RUNNING |     READY |
|              6128 |  1 |     READY |   RUNNING |
|              6227 |  1 |   RUNNING |     READY |
|              6228 |  1 |     READY |   RUNNING |
|              6327 |  1 |   RUNNING |     READY |
|              6328 |  1 |     READY |   RUNNING |
|              6427 |  1 |   RUNNING |     READY |
|              6428 |  1 |     READY |   RUNNING |
|              6527 |  1 |   RUNNING |     READY |
|              6528 |  1 |     READY |   RUNNING |
|              6627 |  1 |   RUNNING |     READY |
|              6628 |  1 |     READY |   RUNNING |
|              6727 |  1 |   RUNNING |     READY |
|              6728 |  1 |     READY |   RUNNING |
|              6827 |  1 |   RUNNING |     READY |
|              6828 |  1 |     READY |   RUNNING |
|              6927 |  1 |   RUNNING |     READY |
|              6928 |  1 |     READY |   RUNNING |
|              7027 |  1 |   RUNNING |     READY |
|              7028 |  1 |     READY |   RUNNING |
|              7127 |  1 |   RUNNING |TERMINATED |
+------------------------------------------------+
