+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|               861 |  1 |       NEW |     READY |
|               861 |  1 |     READY |   RUNNING |
|               895 |  2 |       NEW |     READY |
|               960 |  1 |   RUNNING |     READY |
|               961 |  2 |     READY |   RUNNING |
|              1060 |  2 |   RUNNING |     READY |
|              1061 |  1 |     READY |   RUNNING |
|              1160 |  1 |   RUNNING |     READY |
|              1161 |  2 |     READY |   RUNNING |
|              1260 |  2 |   RUNNING |     READY |
|              1261 |  1 |     READY |   RUNNING |
|              1360 |  1 |   RUNNING |     READY |
|              1361 |  2 |     READY |   RUNNING |
|              1460 |  2 |   RUNNING |     READY |
|              1461 |  1 |     READY |   RUNNING |
|              1520 |  1 |   RUNNING |   WAITING |
|              1521 |  2 |     READY |   RUNNING |
|              1575 |  2 |   RUNNING |   WAITING |
|              1613 |  1 |   WAITING |     READY |
|              1613 |  1 |     READY |   RUNNING |
|              1667 |  2 |   WAITING |     READY |
|              1712 |  1 |   RUNNING |     READY |
|              1713 |  2 |     READY |   RUNNING |
|              1812 |  2 |   RUNNING |     READY |
|              1813 |  1 |     READY |   RUNNING |
|              1912 |  1 |   RUNNING |     READY |
|              1913 |  2 |     READY |   RUNNING |
|              2012 |  2 |   RUNNING |     READY |
|              2013 |  1 |     READY |   RUNNING |
|              2112 |  1 |   RUNNING |     READY |
|              2113 |  2 |     READY |   RUNNING |
|              2212 |  2 |   RUNNING |     READY |
|              2213 |  1 |     READY |   RUNNING |
|              2272 |  1 |   RUNNING |   WAITING |
|              2273 |  2 |     READY |   RUNNING |
|              2327 |  2 |   RUNNING |   WAITING |
|              2365 |  1 |   WAITING |     READY |
|              2365 |  1 |     READY |   RUNNING |
|              2419 |  2 |   WAITING |     READY |
|              2464 |  1 |   RUNNING |     READY |
|              2465 |  2 |     READY |   RUNNING |
|              2564 |  2 |   RUNNING |     READY |
|              2565 |  1 |     READY |   RUNNING |
|              2664 |  1 |   RUNNING |     READY |
|              2665 |  2 |     READY |   RUNNING |
|              2764 |  2 |   RUNNING |     READY |
|              2765 |  1 |     READY |   RUNNING |
|              2864 |  1 |   RUNNING |     READY |
|              2865 |  2 |     READY |   RUNNING |
|              2964 |  2 |   RUNNING |     READY |
|              2965 |  1 |     READY |   RUNNING |
|              3024 |  1 |   RUNNING |   WAITING |
|              3025 |  2 |     READY |   RUNNING |
|              3079 |  2 |   RUNNING |   WAITING |
|              3117 |  1 |   WAITING |     READY |
|              3117 |  1 |     READY |   RUNNING |
|              3171 |  2 |   WAITING |     READY |
|              3216 |  1 |   RUNNING |     READY |
|              3217 |  2 |     READY |   RUNNING |
|              3316 |  2 |   RUNNING |     READY |
|              3317 |  1 |     READY |   RUNNING |
|              3416 |  1 |   RUNNING |     READY |
|              3417 |  2 |     READY |   RUNNING |
|              3516 |  2 |   RUNNING |     READY |
|              3517 |  1 |     READY |   RUNNING |
|              3616 |  1 |   RUNNING |     READY |
|              3617 |  2 |     READY |   RUNNING |
|              3716 |  2 |   RUNNING |     READY |
|              3717 |  1 |     READY |   RUNNING |
|              3776 |  1 |   RUNNING |   WAITING |
|              3777 |  2 |     READY |   RUNNING |
|              3831 |  2 |   RUNNING |   WAITING |
|              3869 |  1 |   WAITING |     READY |
|              3869 |  1 |     READY |   RUNNING |
|              3923 |  2 |   WAITING |     READY |
|              3968 |  1 |   RUNNING |     READY |
|              3969 |  2 |     READY |   RUNNING |
|              4068 |  2 |   RUNNING |     READY |
|              4069 |  1 |     READY |   RUNNING |
|              4168 |  1 |   RUNNING |     READY |
|              4169 |  2 |     READY |   RUNNING |
|              4268 |  2 |   RUNNING |     READY |
|              4269 |  1 |     READY |   RUNNING |
|              4368 |  1 |   RUNNING |     READY |
|              4369 |  2 |     READY |   RUNNING |
|              4468 |  2 |   RUNNING |     READY |
|              4469 |  1 |     READY |   RUNNING |
|              4528 |  1 |   RUNNING |   WAITING |
|              4529 |  2 |     READY |   RUNNING |
|              4583 |  2 |   RUNNING |   WAITING |
|              4621 |  1 |   WAITING |     READY |
|              4621 |  1 |     READY |   RUNNING |
|              4675 |  2 |   WAITING |     READY |
|              4720 |  1 |   RUNNING |     READY |
|              4721 |  2 |     READY |   RUNNING |
|              4820 |  2 |   RUNNING |     READY |
|              4821 |  1 |     READY |   RUNNING |
|              4920 |  1 |   RUNNING |     READY |
|              4921 |  2 |     READY |   RUNNING |
|              5020 |  2 |   RUNNING |     READY |
|              5021 |  1 |     READY |   RUNNING |
|              5120 |  1 |   RUNNING |     READY |
|              5121 |  2 |     READY |   RUNNING |
|              5220 |  2 |   RUNNING |     READY |
|              5221 |  1 |     READY |   RUNNING |
|              5280 |  1 |   RUNNING |   WAITING |
|              5281 |  2 |     READY |   RUNNING |
|              5335 |  2 |   RUNNING |   WAITING |
|              5373 |  1 |   WAITING |     READY |
|              5373 |  1 |     READY |   RUNNING |
|              5427 |  2 |   WAITING |     READY |
|              5472 |  1 |   RUNNING |     READY |
|              5473 |  2 |     READY |   RUNNING |
|              5572 |  2 |   RUNNING |     READY |
|              5573 |  1 |     READY |   RUNNING |
|              5672 |  1 |   RUNNING |     READY |
|              5673 |  2 |     READY |   RUNNING |
|              5772 |  2 |   RUNNING |     READY |
|              5773 |  1 |     READY |   RUNNING |
|              5872 |  1 |   RUNNING |     READY |
|              5873 |  2 |     READY |   RUNNING |
|              5972 |  2 |   RUNNING |     READY |
|              5973 |  1 |     READY |   RUNNING |
|              6032 |  1 |   RUNNING |   WAITING |
|              6033 |  2 |     READY |   RUNNING |
|              6087 |  2 |   RUNNING |   WAITING |
|              6125 |  1 |   WAITING |     READY |
|              6125 |  1 |     READY |   RUNNING |
|              6179 |  2 |   WAITING |     READY |
|              6224 |  1 |   RUNNING |     READY |
|              6225 |  2 |     READY |   RUNNING |
|              6324 |  2 |   RUNNING |     READY |
|              6325 |  1 |     READY |   RUNNING |
|              6424 |  1 |   RUNNING |     READY |
|              6425 |  2 |     READY |   RUNNING |
|              6524 |  2 |   RUNNING |     READY |
|              6525 |  1 |     READY |   RUNNING |
|              6624 |  1 |   RUNNING |     READY |
|              6625 |  2 |     READY |   RUNNING |
|              6724 |  2 |   RUNNING |     READY |
|              6725 |  1 |     READY |   RUNNING |
|              6784 |  1 |   RUNNING |   WAITING |
|              6785 |  2 |     READY |   RUNNING |
|              6839 |  2 |   RUNNING |   WAITING |
|              6877 |  1 |   WAITING |     READY |
|              6877 |  1 |     READY |   RUNNING |
|              6931 |  2 |   WAITING |     READY |
|              6976 |  1 |   RUNNING |     READY |
|              6977 |  2 |     READY |   RUNNING |
|              7076 |  2 |   RUNNING |     READY |
|              7077 |  1 |     READY |   RUNNING |
|              7176 |  1 |   RUNNING |     READY |
|              7177 |  2 |     READY |   RUNNING |
|              7276 |  2 |   RUNNING |     READY |
|              7277 |  1 |     READY |   RUNNING |
|              7376 |  1 |   RUNNING |     READY |
|              7377 |  2 |     READY |   RUNNING |
|              7476 |  2 |   RUNNING |     READY |
|              7477 |  1 |     READY |   RUNNING |
|              7536 |  1 |   RUNNING |   WAITING |
|              7537 |  2 |     READY |   RUNNING |
|              7591 |  2 |   RUNNING |   WAITING |
|              7629 |  1 |   WAITING |     READY |
|              7629 |  1 |     READY |   RUNNING |
|              7683 |  2 |   WAITING |     READY |
|              7728 |  1 |   RUNNING |     READY |
|              7729 |  2 |     READY |   RUNNING |
|              7828 |  2 |   RUNNING |     READY |
|              7829 |  1 |     READY |   RUNNING |
|              7860 |  1 |   RUNNING |TERMINATED |
|              7861 |  2 |     READY |   RUNNING |
|              7960 |  2 |   RUNNING |     READY |
|              7961 |  2 |     READY |   RUNNING |
|              8060 |  2 |   RUNNING |     READY |
|              8061 |  2 |     READY |   RUNNING |
|              8115 |  2 |   RUNNING |   WAITING |
|              8207 |  2 |   WAITING |     READY |
|              8207 |  2 |     READY |   RUNNING |
|              8306 |  2 |   RUNNING |     READY |
|              8307 |  2 |     READY |   RUNNING |
|              8406 |  2 |   RUNNING |     READY |
|              8407 |  2 |     READY |   RUNNING |
|              8506 |  2 |   RUNNING |     READY |
|              8507 |  2 |     READY |   RUNNING |
|              8561 |  2 |   RUNNING |   WAITING |
|              8653 |  2 |   WAITING |     READY |
|              8653 |  2 |     READY |   RUNNING |
|              8752 |  2 |   RUNNING |     READY |
|              8753 |  2 |     READY |   RUNNING |
|              8852 |  2 |   RUNNING |     READY |
|              8853 |  2 |     READY |   RUNNING |
|              8952 |  2 |   RUNNING |     READY |
|              8953 |  2 |     READY |   RUNNING |
|              9007 |  2 |   RUNNING |   WAITING |
|              9099 |  2 |   WAITING |     READY |
|              9099 |  2 |     READY |   RUNNING |
|              9198 |  2 |   RUNNING |     READY |
|              9199 |  2 |     READY |   RUNNING |
|              9298 |  2 |   RUNNING |     READY |
|              9299 |  2 |     READY |   RUNNING |
|              9398 |  2 |   RUNNING |     READY |
|              9399 |  2 |     READY |   RUNNING |
|              9453 |  2 |   RUNNING |   WAITING |
|              9545 |  2 |   WAITING |     READY |
|              9545 |  2 |     READY |   RUNNING |
|              9644 |  2 |   RUNNING |     READY |
|              9645 |  2 |     READY |   RUNNING |
|              9658 |  2 |   RUNNING |TERMINATED |
+------------------------------------------------+
