+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|               332 |  1 |       NEW |     READY |
|               332 |  1 |     READY |   RUNNING |
|               431 |  1 |   RUNNING |     READY |
|               432 |  1 |     READY |   RUNNING |
|               531 |  1 |   RUNNING |     READY |
|               532 |  1 |     READY |   RUNNING |
|               631 |  1 |   RUNNING |     READY |
|               632 |  1 |     READY |   RUNNING |
|               731 |  1 |   RUNNING |     READY |
|               732 |  1 |     READY |   RUNNING |
|               831 |  1 |   RUNNING |     READY |
|               832 |  1 |     READY |   RUNNING |
|               895 |  2 |       NEW |     READY |
|               931 |  1 |   RUNNING |     READY |
|               932 |  2 |     READY |   RUNNING |
|              1031 |  2 |   RUNNING |     READY |
|              1032 |  1 |     READY |   RUNNING |
|              1131 |  1 |   RUNNING |     READY |
|              1132 |  2 |     READY |   RUNNING |
|              1231 |  2 |   RUNNING |     READY |
|              1232 |  1 |     READY |   RUNNING |
|              1331 |  1 |   RUNNING |     READY |
|              1332 |  2 |     READY |   RUNNING |
|              1431 |  2 |   RUNNING |     READY |
|              1432 |  1 |     READY |   RUNNING |
|              1531 |  1 |   RUNNING |     READY |
|              1532 |  2 |     READY |   RUNNING |
|              1597 |  2 |   RUNNING |   WAITING |
|              1598 |  1 |     READY |   RUNNING |
|              1697 |  1 |   RUNNING |     READY |
|              1698 |  1 |     READY |   RUNNING |
|              1797 |  1 |   RUNNING |     READY |
|              1798 |  1 |     READY |   RUNNING |
|              1812 |  2 |   WAITING |     READY |
|              1897 |  1 |   RUNNING |     READY |
|              1898 |  2 |     READY |   RUNNING |
|              1925 |  3 |       NEW |     READY |
|              1997 |  2 |   RUNNING |     READY |
|              1998 |  1 |     READY |   RUNNING |
|              2097 |  1 |   RUNNING |     READY |
|              2098 |  3 |     READY |   RUNNING |
|              2197 |  3 |   RUNNING |     READY |
|              2198 |  2 |     READY |   RUNNING |
|              2297 |  2 |   RUNNING |     READY |
|              2298 |  1 |     READY |   RUNNING |
|              2397 |  1 |   RUNNING |     READY |
|              2398 |  3 |     READY |   RUNNING |
|              2497 |  3 |   RUNNING |     READY |
|              2498 |  2 |     READY |   RUNNING |
|              2597 |  2 |   RUNNING |     READY |
|              2598 |  1 |     READY |   RUNNING |
|              2697 |  1 |   RUNNING |     READY |
|              2698 |  3 |     READY |   RUNNING |
|              2797 |  3 |   RUNNING |     READY |
|              2798 |  2 |     READY |   RUNNING |
|              2863 |  2 |   RUNNING |   WAITING |
|              2864 |  1 |     READY |   RUNNING |
|              2963 |  1 |   RUNNING |     READY |
|              2964 |  3 |     READY |   RUNNING |
|              3063 |  3 |   RUNNING |     READY |
|              3064 |  1 |     READY |   RUNNING |
|              3078 |  2 |   WAITING |     READY |
