+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|               244 |  1 |       NEW |     READY |
|               244 |  1 |     READY |   RUNNING |
|               343 |  1 |   RUNNING |     READY |
|               344 |  1 |     READY |   RUNNING |
|               443 |  1 |   RUNNING |     READY |
|               444 |  1 |     READY |   RUNNING |
|               543 |  1 |   RUNNING |     READY |
|               544 |  1 |     READY |   RUNNING |
|               643 |  1 |   RUNNING |     READY |
|               644 |  1 |     READY |   RUNNING |
|               743 |  1 |   RUNNING |     READY |
|               744 |  1 |     READY |   RUNNING |
|               843 |  1 |   RUNNING |     READY |
|               844 |  1 |     READY |   RUNNING |
|               943 |  1 |   RUNNING |     READY |
|               944 |  1 |     READY |   RUNNING |
|              1043 |  1 |   RUNNING |     READY |
|              1044 |  1 |     READY |   RUNNING |
|              1091 |  2 |       NEW |     READY |
|              1143 |  1 |   RUNNING |     READY |
|              1144 |  2 |     READY |   RUNNING |
|              1243 |  2 |   RUNNING |     READY |
|              1244 |  1 |     READY |   RUNNING |
|              1343 |  1 |   RUNNING |     READY |
|              1344 |  2 |     READY |   RUNNING |
|              1443 |  2 |   RUNNING |     READY |
|              1444 |  1 |     READY |   RUNNING |
|              1543 |  1 |   RUNNING |     READY |
|              1544 |  2 |     READY |   RUNNING |
|              1643 |  2 |   RUNNING |     READY |
|              1644 |  1 |     READY |   RUNNING |
|              1743 |  1 |   RUNNING |     READY |
|              1744 |  2 |     READY |   RUNNING |
|              1843 |  2 |   RUNNING |     READY |
|              1844 |  1 |     READY |   RUNNING |
|              1943 |  1 |   RUNNING |     READY |
|              1944 |  2 |     READY |   RUNNING |
|              2043 |  2 |   RUNNING |     READY |
|              2044 |  1 |     READY |   RUNNING |
|              2143 |  1 |   RUNNING |     READY |
|              2144 |  2 |     READY |   RUNNING |
|              2243 |  2 |   RUNNING |     READY |
|              2244 |  1 |     READY |   RUNNING |
|              2287 |  3 |       NEW |     READY |
|              2343 |  1 |   RUNNING |     READY |
|              2344 |  2 |     READY |   RUNNING |
|              2443 |  2 |   RUNNING |     READY |
|              2444 |  3 |     READY |   RUNNING |
|              2543 |  3 |   RUNNING |     READY |
|              2544 |  1 |     READY |   RUNNING |
|              2643 |  1 |   RUNNING |     READY |
|              2644 |  2 |     READY |   RUNNING |
|              2743 |  2 |   RUNNING |     READY |
|              2744 |  3 |     READY |   RUNNING |
|              2843 |  3 |   RUNNING |     READY |
|              2844 |  1 |     READY |   RUNNING |
|              2943 |  1 |   RUNNING |     READY |
|              2944 |  2 |     READY |   RUNNING |
|              3043 |  2 |   RUNNING |     READY |
|              3044 |  3 |     READY |   RUNNING |
|              3143 |  3 |   RUNNING |     READY |
|              3144 |  1 |     READY |   RUNNING |
|              3243 |  1 |   RUNNING |     READY |
|              3244 |  2 |     READY |   RUNNING |
|              3343 |  2 |   RUNNING |     READY |
|              3344 |  3 |     READY |   RUNNING |
|              3443 |  3 |   RUNNING |     READY |
|              3444 |  1 |     READY |   RUNNING |
|              3462 |  4 |       NEW |     READY |
|              3543 |  1 |   RUNNING |     READY |
|              3544 |  2 |     READY |   RUNNING |
