+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|               580 |  1 |       NEW |     READY |
|               580 |  1 |     READY |   RUNNING |
|               679 |  1 |   RUNNING |     READY |
|               680 |  1 |     READY |   RUNNING |
|               779 |  1 |   RUNNING |     READY |
|               780 |  1 |     READY |   RUNNING |
|               879 |  1 |   RUNNING |     READY |
|               880 |  1 |     READY |   RUNNING |
|               979 |  1 |   RUNNING |     READY |
|               980 |  1 |     READY |   RUNNING |
|              1068 |  1 |   RUNNING |   WAITING |
|              1215 |  1 |   WAITING |     READY |
|              1215 |  1 |     READY |   RUNNING |
|              1238 |  2 |       NEW |     READY |
|              1314 |  1 |   RUNNING |     READY |
|              1315 |  2 |     READY |   RUNNING |
|              1414 |  2 |   RUNNING |     READY |
|              1415 |  1 |     READY |   RUNNING |
|              1514 |  1 |   RUNNING |     READY |
|              1515 |  2 |     READY |   RUNNING |
|              1614 |  2 |   RUNNING |     READY |
|              1615 |  1 |     READY |   RUNNING |
|              1714 |  1 |   RUNNING |     READY |
|              1715 |  2 |     READY |   RUNNING |
|              1814 |  2 |   RUNNING |     READY |
|              1815 |  1 |     READY |   RUNNING |
|              1914 |  1 |   RUNNING |     READY |
|              1915 |  2 |     READY |   RUNNING |
|              2014 |  2 |   RUNNING |     READY |
|              2015 |  1 |     READY |   RUNNING |
|              2103 |  1 |   RUNNING |   WAITING |
|              2104 |  2 |     READY |   RUNNING |
|              2187 |  2 |   RUNNING |   WAITING |
|              2250 |  1 |   WAITING |     READY |
|              2250 |  1 |     READY |   RUNNING |
|              2343 |  2 |   WAITING |     READY |
|              2349 |  1 |   RUNNING |     READY |
|              2350 |  2 |     READY |   RUNNING |
|              2449 |  2 |   RUNNING |     READY |
|              2450 |  1 |     READY |   RUNNING |
|              2549 |  1 |   RUNNING |     READY |
|              2550 |  2 |     READY |   RUNNING |
|              2649 |  2 |   RUNNING |     READY |
|              2650 |  1 |     READY |   RUNNING |
|              2749 |  1 |   RUNNING |     READY |
|              2750 |  2 |     READY |   RUNNING |
|              2849 |  2 |   RUNNING |     READY |
|              2850 |  1 |     READY |   RUNNING |
|              2949 |  1 |   RUNNING |     READY |
|              2950 |  2 |     READY |   RUNNING |
|              3049 |  2 |   RUNNING |     READY |
|              3050 |  1 |     READY |   RUNNING |
|              3138 |  1 |   RUNNING |   WAITING |
|              3139 |  2 |     READY |   RUNNING |
|              3222 |  2 |   RUNNING |   WAITING |
|              3285 |  1 |   WAITING |     READY |
|              3285 |  1 |     READY |   RUNNING |
|              3378 |  2 |   WAITING |     READY |
|              3384 |  1 |   RUNNING |     READY |
|              3385 |  2 |     READY |   RUNNING |
|              3484 |  2 |   RUNNING |     READY |
|              3485 |  1 |     READY |   RUNNING |
|              3584 |  1 |   RUNNING |     READY |
|              3585 |  2 |     READY |   RUNNING |
|              3684 |  2 |   RUNNING |     READY |
|              3685 |  1 |     READY |   RUNNING |
|              3784 |  1 |   RUNNING |     READY |
|              3785 |  2 |     READY |   RUNNING |
|              3884 |  2 |   RUNNING |     READY |
|              3885 |  1 |     READY |   RUNNING |
|              3984 |  1 |   RUNNING |     READY |
|              3985 |  2 |     READY |   RUNNING |
|              4084 |  2 |   RUNNING |     READY |
|              4085 |  1 |     READY |   RUNNING |
|              4173 |  1 |   RUNNING |   WAITING |
|              4174 |  2 |     READY |   RUNNING |
|              4257 |  2 |   RUNNING |   WAITING |
|              4320 |  1 |   WAITING |     READY |
|              4320 |  1 |     READY |   RUNNING |
|              4413 |  2 |   WAITING |     READY |
|              4419 |  1 |   RUNNING |     READY |
|              4420 |  2 |     READY |   RUNNING |
|              4519 |  2 |   RUNNING |     READY |
|              4520 |  1 |     READY |   RUNNING |
|              4555 |  1 |   RUNNING |TERMINATED |
|              4556 |  2 |     READY |   RUNNING |
|              4655 |  2 |   RUNNING |     READY |
|              4656 |  2 |     READY |   RUNNING |
|              4755 |  2 |   RUNNING |     READY |
|              4756 |  2 |     READY |   RUNNING |
|              4855 |  2 |   RUNNING |     READY |
|              4856 |  2 |     READY |   RUNNING |
|              4939 |  2 |   RUNNING |   WAITING |
|              5095 |  2 |   WAITING |     READY |
|              5095 |  2 |     READY |   RUNNING |
|              5194 |  2 |   RUNNING |     READY |
|              5195 |  2 |     READY |   RUNNING |
|              5294 |  2 |   RUNNING |     READY |
|              5295 |  2 |     READY |   RUNNING |
|              5394 |  2 |   RUNNING |     READY |
|              5395 |  2 |     READY |   RUNNING |
|              5494 |  2 |   RUNNING |     READY |
|              5495 |  2 |     READY |   RUNNING |
|              5578 |  2 |   RUNNING |   WAITING |
|              5734 |  2 |   WAITING |     READY |
|              5734 |  2 |     READY |   RUNNING |
|              5833 |  2 |   RUNNING |     READY |
|              5834 |  2 |     READY |   RUNNING |
|              5933 |  2 |   RUNNING |     READY |
|              5934 |  2 |     READY |   RUNNING |
|              6033 |  2 |   RUNNING |     READY |
|              6034 |  2 |     READY |   RUNNING |
|              6133 |  2 |   RUNNING |     READY |
|              6134 |  2 |     READY |   RUNNING |
|              6217 |  2 |   RUNNING |   WAITING |
|              6373 |  2 |   WAITING |     READY |
|              6373 |  2 |     READY |   RUNNING |
|              6472 |  2 |   RUNNING |     READY |
|              6473 |  2 |     READY |   RUNNING |
|              6572 |  2 |   RUNNING |     READY |
|              6573 |  2 |     READY |   RUNNING |
|              6672 |  2 |   RUNNING |     READY |
|              6673 |  2 |     READY |   RUNNING |
|              6772 |  2 |   RUNNING |     READY |
|              6773 |  2 |     READY |   RUNNING |
|              6856 |  2 |   RUNNING |   WAITING |
|              7012 |  2 |   WAITING |     READY |
|              7012 |  2 |     READY |   RUNNING |
|              7111 |  2 |   RUNNING |     READY |
|              7112 |  2 |     READY |   RUNNING |
|              7211 |  2 |   RUNNING |     READY |
|              7212 |  2 |     READY |   RUNNING |
|              7311 |  2 |   RUNNING |     READY |
|              7312 |  2 |     READY |   RUNNING |
|              7411 |  2 |   RUNNING |     READY |
|              7412 |  2 |     READY |   RUNNING |
|              7495 |  2 |   RUNNING |   WAITING |
|              7651 |  2 |   WAITING |     READY |
|              7651 |  2 |     READY |   RUNNING |
|              7750 |  2 |   RUNNING |     READY |
|              7751 |  2 |     READY |   RUNNING |
|              7850 |  2 |   RUNNING |     READY |
|              7851 |  2 |     READY |   RUNNING |
|              7950 |  2 |   RUNNING |     READY |
|              7951 |  2 |     READY |   RUNNING |
|              8050 |  2 |   RUNNING |     READY |
|              8051 |  2 |     READY |   RUNNING |
|              8134 |  2 |   RUNNING |   WAITING |
|              8290 |  2 |   WAITING |     READY |
|              8290 |  2 |     READY |   RUNNING |
|              8389 |  2 |   RUNNING |     READY |
|              8390 |  2 |     READY |   RUNNING |
|              8489 |  2 |   RUNNING |     READY |
|              8490 |  2 |     READY |   RUNNING |
|              8589 |  2 |   RUNNING |     READY |
|              8590 |  2 |     READY |   RUNNING |
|              8689 |  2 |   RUNNING |     READY |
|              8690 |  2 |     READY |   RUNNING |
|              8773 |  2 |   RUNNING |   WAITING |
|              8929 |  2 |   WAITING |     READY |
|              8929 |  2 |     READY |   RUNNING |
|              9028 |  2 |   RUNNING |     READY |
|              9029 |  2 |     READY |   RUNNING |
|              9128 |  2 |   RUNNING |     READY |
|              9129 |  2 |     READY |   RUNNING |
|              9228 |  2 |   RUNNING |     READY |
|              9229 |  2 |     READY |   RUNNING |
|              9273 |  2 |   RUNNING |TERMINATED |
+------------------------------------------------+
