+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|              1140 |  1 |       NEW |     READY |
|              1140 |  1 |     READY |   RUNNING |
|              1239 |  1 |   RUNNING |     READY |
|              1240 |  1 |     READY |   RUNNING |
|              1339 |  1 |   RUNNING |     READY |
|              1340 |  1 |     READY |   RUNNING |
|              1369 |  2 |       NEW |     READY |
|              1439 |  1 |   RUNNING |     READY |
|              1440 |  2 |     READY |   RUNNING |
|              1539 |  2 |   RUNNING |     READY |
|              1540 |  1 |     READY |   RUNNING |
|              1639 |  1 |   RUNNING |     READY |
|              1640 |  2 |     READY |   RUNNING |
|              1739 |  2 |   RUNNING |     READY |
|              1740 |  1 |     READY |   RUNNING |
|              1839 |  1 |   RUNNING |     READY |
|              1840 |  2 |     READY |   RUNNING |
|              1939 |  2 |   RUNNING |     READY |
|              1940 |  1 |     READY |   RUNNING |
|              2039 |  1 |   RUNNING |     READY |
|              2040 |  2 |     READY |   RUNNING |
|              2139 |  2 |   RUNNING |     READY |
|              2140 |  1 |     READY |   RUNNING |
|              2239 |  1 |   RUNNING |     READY |
|              2240 |  2 |     READY |   RUNNING |
|              2339 |  2 |   RUNNING |     READY |
|              2340 |  1 |     READY |   RUNNING |
|              2426 |  3 |       NEW |     READY |
|              2439 |  1 |   RUNNING |     READY |
|              2440 |  2 |     READY |   RUNNING |
|              2539 |  2 |   RUNNING |     READY |
|              2540 |  3 |     READY |   RUNNING |
|              2639 |  3 |   RUNNING |     READY |
|              2640 |  1 |     READY |   RUNNING |
|              2739 |  1 |   RUNNING |     READY |
|              2740 |  2 |     READY |   RUNNING |
|              2839 |  2 |   RUNNING |     READY |
|              2840 |  3 |     READY |   RUNNING |
|              2939 |  3 |   RUNNING |     READY |
|              2940 |  1 |     READY |   RUNNING |
|              3039 |  1 |   RUNNING |     READY |
|              3040 |  2 |     READY |   RUNNING |
|              3139 |  2 |   RUNNING |     READY |
|              3140 |  3 |     READY |   RUNNING |
|              3239 |  3 |   RUNNING |     READY |
|              3240 |  1 |     READY |   RUNNING |
|              3245 |  1 |   RUNNING |   WAITING |
|              3246 |  2 |     READY |   RUNNING |
|              3345 |  2 |   RUNNING |     READY |
|              3346 |  3 |     READY |   RUNNING |
|              3378 |  1 |   WAITING |     READY |
