+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|               332 |  1 |       NEW |     READY |
|               332 |  1 |     READY |   RUNNING |
|               895 |  2 |       NEW |     READY |
|              1925 |  3 |       NEW |     READY |
|              4695 |  1 |   RUNNING |   WAITING |
|              4696 |  2 |     READY |   RUNNING |
|              4750 |  1 |   WAITING |     READY |
|              5061 |  2 |   RUNNING |   WAITING |
|              5062 |  1 |     READY |   RUNNING |
|              5276 |  2 |   WAITING |     READY |
|              7341 |  1 |   RUNNING |TERMINATED |
|              7342 |  2 |     READY |   RUNNING |
|              7707 |  2 |   RUNNING |   WAITING |
|              7708 |  3 |     READY |   RUNNING |
|              7922 |  2 |   WAITING |     READY |
|             10348 |  3 |   RUNNING |   WAITING |
|             10349 |  2 |     READY |   RUNNING |
|             10537 |  3 |   WAITING |     READY |
|             10714 |  2 |   RUNNING |   WAITING |
|             10715 |  3 |     READY |   RUNNING |
|             10929 |  2 |   WAITING |     READY |
|             13355 |  3 |   RUNNING |   WAITING |
|             13356 |  2 |     READY |   RUNNING |
|             13544 |  3 |   WAITING |     READY |
|             13721 |  2 |   RUNNING |   WAITING |
|             13722 |  3 |     READY |   RUNNING |
|             13936 |  2 |   WAITING |     READY |
|             16362 |  3 |   RUNNING |   WAITING |
|             16363 |  2 |     READY |   RUNNING |
|             16551 |  3 |   WAITING |     READY |
|             16728 |  2 |   RUNNING |   WAITING |
|             16729 |  3 |     READY |   RUNNING |
|             16943 |  2 |   WAITING |     READY |
|             19369 |  3 |   RUNNING |   WAITING |
|             19370 |  2 |     READY |   RUNNING |
|             19558 |  3 |   WAITING |     READY |
|             19735 |  2 |   RUNNING |   WAITING |
|             19736 |  3 |     READY |   RUNNING |
|             19950 |  2 |   WAITING |     READY |
|             20077 |  3 |   RUNNING |TERMINATED |
|             20078 |  2 |     READY |   RUNNING |
|             20443 |  2 |   RUNNING |   WAITING |
|             20658 |  2 |   WAITING |     READY |
|             20658 |  2 |     READY |   RUNNING |
|             21023 |  2 |   RUNNING |   WAITING |
|             21238 |  2 |   WAITING |     READY |
|             21238 |  2 |     READY |   RUNNING |
|             21603 |  2 |   RUNNING |   WAITING |
|             21818 |  2 |   WAITING |     READY |
|             21818 |  2 |     READY |   RUNNING |
|             22183 |  2 |   RUNNING |   WAITING |
|             22398 |  2 |   WAITING |     READY |
|             22398 |  2 |     READY |   RUNNING |
|             22763 |  2 |   RUNNING |   WAITING |
|             22978 |  2 |   WAITING |     READY |
|             22978 |  2 |     READY |   RUNNING |
|             23343 |  2 |   RUNNING |   WAITING |
|             23558 |  2 |   WAITING |     READY |
|             23558 |  2 |     READY |   RUNNING |
|             23923 |  2 |   RUNNING |   WAITING |
|             24138 |  2 |   WAITING |     READY |
|             24138 |  2 |     READY |   RUNNING |
|             24503 |  2 |   RUNNING |   WAITING |
|             24718 |  2 |   WAITING |     READY |
|             24718 |  2 |     READY |   RUNNING |
|             25083 |  2 |   RUNNING |   WAITING |
|             25298 |  2 |   WAITING |     READY |
|             25298 |  2 |     READY |   RUNNING |
|             25663 |  2 |   RUNNING |   WAITING |
|             25878 |  2 |   WAITING |     READY |
|             25878 |  2 |     READY |   RUNNING |
|             26243 |  2 |   RUNNING |   WAITING |
|             26458 |  2 |   WAITING |     READY |
|             26458 |  2 |     READY |   RUNNING |
|             26823 |  2 |   RUNNING |   WAITING |
|             27038 |  2 |   WAITING |     READY |
|             27038 |  2 |     READY |   RUNNING |
|             27403 |  2 |   RUNNING |   WAITING |
|             27618 |  2 |   WAITING |     READY |
|             27618 |  2 |     READY |   RUNNING |
|             27983 |  2 |   RUNNING |   WAITING |
|             28198 |  2 |   WAITING |     READY |
|             28198 |  2 |     READY |   RUNNING |
|             28563 |  2 |   RUNNING |   WAITING |
|             28778 |  2 |   WAITING |     READY |
|             28778 |  2 |     READY |   RUNNING |
|             29143 |  2 |   RUNNING |   WAITING |
|             29358 |  2 |   WAITING |     READY |
|             29358 |  2 |     READY |   RUNNING |
|             29723 |  2 |   RUNNING |   WAITING |
|             29938 |  2 |   WAITING |     READY |
|             29938 |  2 |     READY |   RUNNING |
|             30303 |  2 |   RUNNING |   WAITING |
|             30518 |  2 |   WAITING |     READY |
|             30518 |  2 |     READY |   RUNNING |
|             30883 |  2 |   RUNNING |   WAITING |
|             31098 |  2 |   WAITING |     READY |
|             31098 |  2 |     READY |   RUNNING |
|             31463 |  2 |   RUNNING |   WAITING |
|             31678 |  2 |   WAITING |     READY |
|             31678 |  2 |     READY |   RUNNING |
|             32043 |  2 |   RUNNING |   WAITING |
|             32258 |  2 |   WAITING |     READY |
|             32258 |  2 |     READY |   RUNNING |
|             32623 |  2 |   RUNNING |   WAITING |
|             32838 |  2 |   WAITING |     READY |
|             32838 |  2 |     READY |   RUNNING |
|             33203 |  2 |   RUNNING |   WAITING |
|             33418 |  2 |   WAITING |     READY |
|             33418 |  2 |     READY |   RUNNING |
|             33599 |  2 |   RUNNING |TERMINATED |
+------------------------------------------------+
