+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|               855 |  1 |       NEW |     READY |
|               855 |  1 |     READY |   RUNNING |
|              1204 |  1 |   RUNNING |   WAITING |
|              1390 |  1 |   WAITING |     READY |
|              1390 |  1 |     READY |   RUNNING |
|              1674 |  2 |       NEW |     READY |
|              1739 |  1 |   RUNNING |   WAITING |
|              1740 |  2 |     READY |   RUNNING |
|              1925 |  1 |   WAITING |     READY |
|              2377 |  3 |       NEW |     READY |
|              2784 |  4 |       NEW |     READY |
|              6308 |  2 |   RUNNING |   WAITING |
|              6309 |  1 |     READY |   RUNNING |
|              6425 |  2 |   WAITING |     READY |
|              6658 |  1 |   RUNNING |   WAITING |
|              6659 |  2 |     READY |   RUNNING |
|              6844 |  1 |   WAITING |     READY |
|             11227 |  2 |   RUNNING |   WAITING |
|             11228 |  1 |     READY |   RUNNING |
|             11344 |  2 |   WAITING |     READY |
|             11577 |  1 |   RUNNING |   WAITING |
|             11578 |  2 |     READY |   RUNNING |
|             11763 |  1 |   WAITING |     READY |
|             12287 |  2 |   RUNNING |TERMINATED |
|             12288 |  1 |     READY |   RUNNING |
|             12637 |  1 |   RUNNING |   WAITING |
|             12638 |  3 |     READY |   RUNNING |
|             12823 |  1 |   WAITING |     READY |
|             13019 |  3 |   RUNNING |   WAITING |
|             13020 |  1 |     READY |   RUNNING |
|             13201 |  3 |   WAITING |     READY |
|             13369 |  1 |   RUNNING |   WAITING |
|             13370 |  3 |     READY |   RUNNING |
|             13555 |  1 |   WAITING |     READY |
|             13751 |  3 |   RUNNING |   WAITING |
|             13752 |  1 |     READY |   RUNNING |
|             13933 |  3 |   WAITING |     READY |
|             14101 |  1 |   RUNNING |   WAITING |
|             14102 |  3 |     READY |   RUNNING |
|             14287 |  1 |   WAITING |     READY |
|             14483 |  3 |   RUNNING |   WAITING |
|             14484 |  1 |     READY |   RUNNING |
|             14665 |  3 |   WAITING |     READY |
|             14833 |  1 |   RUNNING |   WAITING |
|             14834 |  3 |     READY |   RUNNING |
|             15019 |  1 |   WAITING |     READY |
|             15215 |  3 |   RUNNING |   WAITING |
|             15216 |  1 |     READY |   RUNNING |
|             15397 |  3 |   WAITING |     READY |
|             15565 |  1 |   RUNNING |   WAITING |
|             15566 |  3 |     READY |   RUNNING |
|             15751 |  1 |   WAITING |     READY |
|             15947 |  3 |   RUNNING |   WAITING |
|             15948 |  1 |     READY |   RUNNING |
|             16129 |  3 |   WAITING |     READY |
|             16297 |  1 |   RUNNING |   WAITING |
|             16298 |  3 |     READY |   RUNNING |
|             16483 |  1 |   WAITING |     READY |
|             16679 |  3 |   RUNNING |   WAITING |
|             16680 |  1 |     READY |   RUNNING |
|             16861 |  3 |   WAITING |     READY |
|             17029 |  1 |   RUNNING |   WAITING |
|             17030 |  3 |     READY |   RUNNING |
|             17215 |  1 |   WAITING |     READY |
|             17411 |  3 |   RUNNING |   WAITING |
|             17412 |  1 |     READY |   RUNNING |
|             17593 |  3 |   WAITING |     READY |
|             17723 |  1 |   RUNNING |TERMINATED |
|             17724 |  3 |     READY |   RUNNING |
|             18105 |  3 |   RUNNING |   WAITING |
|             18106 |  4 |     READY |   RUNNING |
|             18287 |  3 |   WAITING |     READY |
|             18654 |  4 |   RUNNING |   WAITING |
|             18655 |  3 |     READY |   RUNNING |
|             18789 |  4 |   WAITING |     READY |
|             19036 |  3 |   RUNNING |   WAITING |
|             19037 |  4 |     READY |   RUNNING |
|             19218 |  3 |   WAITING |     READY |
|             19585 |  4 |   RUNNING |   WAITING |
|             19586 |  3 |     READY |   RUNNING |
|             19720 |  4 |   WAITING |     READY |
|             19967 |  3 |   RUNNING |   WAITING |
|             19968 |  4 |     READY |   RUNNING |
|             20149 |  3 |   WAITING |     READY |
|             20516 |  4 |   RUNNING |   WAITING |
|             20517 |  3 |     READY |   RUNNING |
|             20651 |  4 |   WAITING |     READY |
|             20898 |  3 |   RUNNING |   WAITING |
|             20899 |  4 |     READY |   RUNNING |
|             21080 |  3 |   WAITING |     READY |
|             21447 |  4 |   RUNNING |   WAITING |
|             21448 |  3 |     READY |   RUNNING |
|             21582 |  4 |   WAITING |     READY |
|             21829 |  3 |   RUNNING |   WAITING |
|             21830 |  4 |     READY |   RUNNING |
|             22011 |  3 |   WAITING |     READY |
|             22378 |  4 |   RUNNING |   WAITING |
|             22379 |  3 |     READY |   RUNNING |
|             22513 |  4 |   WAITING |     READY |
|             22760 |  3 |   RUNNING |   WAITING |
|             22761 |  4 |     READY |   RUNNING |
|             22942 |  3 |   WAITING |     READY |
|             23309 |  4 |   RUNNING |   WAITING |
|             23310 |  3 |     READY |   RUNNING |
|             23444 |  4 |   WAITING |     READY |
|             23691 |  3 |   RUNNING |   WAITING |
|             23692 |  4 |     READY |   RUNNING |
|             23873 |  3 |   WAITING |     READY |
|             24240 |  4 |   RUNNING |   WAITING |
|             24241 |  3 |     READY |   RUNNING |
|             24375 |  4 |   WAITING |     READY |
|             24622 |  3 |   RUNNING |   WAITING |
|             24623 |  4 |     READY |   RUNNING |
|             24804 |  3 |   WAITING |     READY |
|             25171 |  4 |   RUNNING |   WAITING |
|             25172 |  3 |     READY |   RUNNING |
|             25306 |  4 |   WAITING |     READY |
|             25553 |  3 |   RUNNING |   WAITING |
|             25554 |  4 |     READY |   RUNNING |
|             25735 |  3 |   WAITING |     READY |
|             26102 |  4 |   RUNNING |   WAITING |
|             26103 |  3 |     READY |   RUNNING |
|             26237 |  4 |   WAITING |     READY |
|             26484 |  3 |   RUNNING |   WAITING |
|             26485 |  4 |     READY |   RUNNING |
|             26666 |  3 |   WAITING |     READY |
|             27033 |  4 |   RUNNING |   WAITING |
|             27034 |  3 |     READY |   RUNNING |
|             27168 |  4 |   WAITING |     READY |
|             27415 |  3 |   RUNNING |   WAITING |
|             27416 |  4 |     READY |   RUNNING |
|             27597 |  3 |   WAITING |     READY |
|             27964 |  4 |   RUNNING |   WAITING |
|             27965 |  3 |     READY |   RUNNING |
|             28099 |  4 |   WAITING |     READY |
|             28346 |  3 |   RUNNING |   WAITING |
|             28347 |  4 |     READY |   RUNNING |
|             28528 |  3 |   WAITING |     READY |
|             28895 |  4 |   RUNNING |   WAITING |
|             28896 |  3 |     READY |   RUNNING |
|             29030 |  4 |   WAITING |     READY |
|             29266 |  3 |   RUNNING |TERMINATED |
|             29267 |  4 |     READY |   RUNNING |
|             29815 |  4 |   RUNNING |   WAITING |
|             29950 |  4 |   WAITING |     READY |
|             29950 |  4 |     READY |   RUNNING |
|             30498 |  4 |   RUNNING |   WAITING |
|             30633 |  4 |   WAITING |     READY |
|             30633 |  4 |     READY |   RUNNING |
|             30675 |  4 |   RUNNING |TERMINATED |
+------------------------------------------------+
